# Scan number: 19
# Command: k-scan 3 12 8.333 180 1 10
# Date: Mon Jul 29 04:06:28 2024
# date: Mon Jul 29 04:06:28 2024
# C Mon Jul 29 04: 07:18 2024.  do ./2023-07_EXAFS.mac.
Energy	monobr	monoh	cr2latr	cr2vetr	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
8.36729	13.667209	25	-54.5828	12.6568	86788674	1	0	0	0	297.85023	13.673342	6.023093e-12	1.660716e-10	-1790.667	7.7091023e+08	1.0649235e+08	1.0119955	12.844895	0.88200576	4713	82	92	724	2140	591	0	0	0	16.997457	0	8.3636096	0	0	0	0	0	0	297.846	-5.22782e-13	297.85	6.02309e-12	1.65417e-10	0	35	16880.55	16880.55
8.36844	13.665304	25	-54.5828	12.6567	86788677	1.0200544	0	0	0	297.82682	13.670842	5.98626e-12	1.663132e-10	-1790.667	7.7091023e+08	1.0666545e+08	1.0277997	13.036719	0.89380832	4785	78	90	703	2173	587	0	0	0	16.997457	0	8.36511	0	0	0	0	0	0	297.846	-5.22782e-13	297.827	5.98626e-12	1.65329e-10	0	33	16775.821	16775.821
8.3696	13.663364	25	-54.5828	12.6566	86788680	1.0404384	0	0	0	297.80462	13.668342	5.700648e-12	1.653504e-10	-1790.667	7.7091023e+08	1.0606619e+08	1.0522717	13.180414	0.91357792	4900	79	98	712	2224	624	0	0	0	16.997457	0	8.3666108	0	0	0	0	0	0	297.846	-5.22782e-13	297.809	5.8101e-12	1.6568e-10	0	36	15973.986	15973.986
8.37078	13.661394	25	-54.5828	12.6565	86788683	1.061152	0	0	0	297.77888	13.665842	5.793629e-12	1.663096e-10	-1790.667	7.7091023e+08	1.0670015e+08	1.0679277	12.894656	0.93022208	4895	65	85	728	2173	633	0	0	0	16.997457	0	8.3681123	0	0	0	0	0	0	297.846	-5.22782e-13	297.788	5.83987e-12	1.65508e-10	0	47	16233.044	16233.044
8.37199	13.659394	25	-54.5828	12.6564	86788686	1.0821956	0	0	0	297.75813	13.665842	5.570736e-12	1.666542e-10	-1790.667	7.7091023e+08	1.0694043e+08	1.0932755	12.787554	0.95347232	5075	88	87	756	2262	637	0	0	0	16.997457	0	8.3681123	0	0	0	0	0	0	297.846	-5.22782e-13	297.761	5.65993e-12	1.65931e-10	0	41	15607.059	15607.059
8.37321	13.657364	25	-54.5828	12.6563	86788689	1.1035684	0	0	0	297.73565	13.663342	6.005769e-12	1.666791e-10	-1790.667	7.7091023e+08	1.0697577e+08	1.1158426	13.010036	0.97067104	5333	77	98	784	2439	628	0	0	0	16.997457	0	8.3696142	0	0	0	0	0	0	297.846	-5.22782e-13	297.739	6.00577e-12	1.66711e-10	0	32	16824.261	16824.261
8.37445	13.655299	25	-54.5828	12.6562	86788692	1.1252712	0	0	0	297.71179	13.660842	5.400506e-12	1.675566e-10	-1790.667	7.7091023e+08	1.0755875e+08	1.1321117	12.998181	0.98495776	5413	91	110	804	2449	648	0	0	0	16.997457	0	8.3711168	0	0	0	0	0	0	297.846	-5.22782e-13	297.712	5.40051e-12	1.6705e-10	0	47	15127.253	15127.253
8.37571	13.653209	25	-54.5828	12.6561	86788695	1.1473032	0	0	0	297.6872	13.658342	5.672875e-12	1.68491e-10	-1790.667	7.7091023e+08	1.0817879e+08	1.1561011	13.164385	1.0039075	5580	82	88	817	2563	698	0	0	0	16.997457	0	8.3726199	0	0	0	0	0	0	297.846	-5.22782e-13	297.687	5.67288e-12	1.67955e-10	0	31	15888.629	15888.629
8.37699	13.651084	25	-54.5828	12.656	86788698	1.1696652	0	0	0	297.66697	13.655842	5.945244e-12	1.687432e-10	-1790.667	7.7091023e+08	1.0836131e+08	1.1801485	13.295195	1.0232454	5790	99	115	836	2669	656	0	0	0	16.997457	0	8.3741235	0	0	0	0	0	0	297.846	-5.22782e-13	297.667	5.94524e-12	1.68158e-10	0	32	16649.831	16649.831
8.37828	13.648929	25	-54.5828	12.6558	86788701	1.1923568	0	0	0	297.63778	13.653342	5.6894e-12	1.674856e-10	-1790.667	7.7091023e+08	1.0757433e+08	1.2042083	12.925896	1.0485536	6006	79	119	887	2740	697	0	0	0	16.997457	0	8.3756277	0	0	0	0	0	0	297.846	-5.22782e-13	297.643	5.83863e-12	1.6804e-10	0	29	15931.741	15931.741
8.3796	13.646744	25	-54.5828	12.6557	86788705	1.2153784	0	0	0	297.61272	13.653342	5.944348e-12	1.690168e-10	-1790.667	7.7091023e+08	1.0857909e+08	1.2278384	13.452116	1.0626682	6169	93	112	891	2890	701	0	0	0	16.997457	0	8.3756277	0	0	0	0	0	0	297.846	-5.22782e-13	297.617	5.94435e-12	1.68361e-10	0	37	16643.958	16643.958
