monoE,ionch1_mean,ionch1_std,mcaRt_mean,mcaRt_std,ionch1/mcaRt_mean,ionch1/mcaRt_std
7.092,86675506.0,,1.0118934,,85656755.9389161,
7.093,85750957.0,,1.0120259,,84731978.69738314,
7.094,87131782.0,,1.0122544,,86076960.49530631,
7.095,87171074.0,,1.012081,,86130531.05433261,
7.096,87052661.0,,1.0122582,,85998474.4998855,
7.097,86460930.0,,1.0120058,,85435211.93257983,
7.098,86108643.0,,1.0119677,,85090307.72424851,
7.099,85066692.0,,1.0121728,,84043645.51191258,
7.1,84932423.0,,1.0121779,,83910568.48800987,
7.101,85302873.0,,1.011985,,84292625.87884209,
7.102,85162740.0,,1.0122262,,84134099.67060722,
7.103,84917427.0,,1.0121453,,83898455.09335467,
7.104,83598122.0,,1.0118845,,82616268.95164418,
7.105,83633261.0,,1.0120694,,82635895.32496488,
7.106,82184977.0,,1.012217,,81193041.61064279,
7.107,82672285.0,,1.0118051,,81707717.22735931,
7.108,82446124.0,,1.0118765,,81478445.2450472,
7.109,82442213.0,,1.0118669,,81475353.13191883,
7.11,80858691.0,,1.012208,,79883473.55484249,
7.111,79138344.0,,1.0120179,,78198561.50765713,
7.112,76272696.0,,1.0119859,,75369326.78607479,
7.113,67181907.0,,1.0120259,,66383584.649365194,
7.114,53670610.0,,1.011935,,53037606.17035679,
7.115,37460405.0,,1.0122902,,37005598.78975416,
7.116,28919442.0,,1.0121277,,28572918.219706863,
7.117,24755877.0,,1.011872,,24465423.49229942,
7.118,22088408.0,,1.0121859,,21822481.42361991,
7.119,20614942.0,,1.0118173,,20374174.27039447,
7.12,19010415.0,,1.0118813,,18787198.656601325,
7.121,15818465.0,,1.012001,,15630878.823242271,
7.122,12118292.0,,1.011887,,11975934.071689824,
7.123,8995373.9,,1.0122419,,8886585.212487252,
7.124,6842369.6,,1.0118275,,6762387.462289766,
7.125,5532614.5,,1.01204,,5466794.296668116,
7.126,4708931.2,,1.0122144,,4652108.486107292,
7.127,4119486.6,,1.0119482,,4070847.3022631,
7.128,3715509.9,,1.0120755,,3671178.583020733,
7.129,3356390.9,,1.0121939,,3315956.458540207,
7.13,3067541.7,,1.0121667,,3030668.4659750215,
7.131,2710246.7,,1.0120298,,2678030.5283500543,
7.132,2390013.4,,1.0121366,,2361354.583956355,
