# Scan number: 13
# Command: ascan monoE 7.092 7.232 140 2
# Date: Mon Jul 29 05:18:19 2024
# date: Mon Jul 29 05:18:19 2024
# C Mon Jul 29 05: 28:54 2024.  do ./2023-07_EXAFS.mac.
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
7.092	16.186844	-44.8397	12.8456	0	0	0	86792984	2	0	0	0	297.86181	16.192951	2.249714e-09	5.912995e-10	-1790.667	7.7091023e+08	3.2402512e+08	2.011824	5.8145046	1.8948464	4141	456	513	16	110	308	2	0	0	16.997457	0	7.0893962	0	0	0	0	0	0	297.846	-5.22782e-13	297.866	2.24667e-09	5.87468e-10	0	77	7120145.2	7120145.2
7.093	16.184499	-44.8461	12.8454	0	0	0	86792988	2	0	0	0	297.83239	16.190451	2.26557e-09	5.920384e-10	-1790.667	7.7091023e+08	3.2446037e+08	2.0118429	6.0016456	1.8910992	4112	485	472	30	111	327	2	0	0	16.997457	0	7.0904616	0	0	0	0	0	0	297.846	-5.22782e-13	297.837	2.25866e-09	5.87121e-10	0	79	7169527.3	7169527.3
7.094	16.182154	-44.8524	12.8452	0	0	0	86792992	2	0	0	0	297.80368	16.187951	2.261439e-09	5.885603e-10	-1790.667	7.7091023e+08	3.2258441e+08	2.0120922	6.2502584	1.8863312	4131	515	478	24	108	309	0	0	0	16.997457	0	7.0915273	0	0	0	0	0	0	297.846	-5.22782e-13	297.807	2.2701e-09	5.87964e-10	0	72	7155655.5	7155655.5
7.095	16.179809	-44.8587	12.8451	0	0	0	86792996	2	0	0	0	297.77048	16.185451	2.251116e-09	5.870255e-10	-1790.667	7.7091023e+08	3.2177332e+08	2.0119843	6.2502594	1.8862301	4149	489	523	34	117	303	0	0	0	16.997457	0	7.0925934	0	0	0	0	0	0	297.846	-5.22782e-13	297.774	2.25897e-09	5.88195e-10	0	58	7122196.3	7122196.3
7.096	16.177469	-44.865	12.8449	0	0	0	86793000	2	0	0	0	297.73531	16.182951	2.261989e-09	5.847305e-10	-1790.667	7.7091023e+08	3.2054535e+08	2.0118816	6.1730074	1.887688	4127	473	475	32	104	320	0	0	0	16.997457	0	7.0936598	0	0	0	0	0	0	297.846	-5.22782e-13	297.746	2.24863e-09	5.88084e-10	0	49	7155798.1	7155798.1
7.097	16.175124	-44.8714	12.8447	0	0	0	86793004	2	0	0	0	297.70374	16.180451	2.258188e-09	5.851106e-10	-1790.667	7.7091023e+08	3.2078378e+08	2.0118883	6.3799327	1.8835312	3996	454	536	26	105	322	1	0	0	16.997457	0	7.0947265	0	0	0	0	0	0	297.846	-5.22782e-13	297.715	2.25114e-09	5.86562e-10	0	80	7142976.6	7142976.6
7.098	16.172784	-44.8777	12.8445	0	0	0	86793008	2	0	0	0	297.67381	16.177951	2.220814e-09	5.796608e-10	-1790.667	7.7091023e+08	3.1782576e+08	2.0119443	6.2611037	1.8859744	4022	459	511	30	93	310	1	0	0	16.997457	0	7.0957936	0	0	0	0	0	0	297.846	-5.22782e-13	297.685	2.22274e-09	5.82147e-10	0	83	7023973.5	7023973.5
7.099	16.170444	-44.884	12.8443	0	0	0	86793013	2	0	0	0	297.64302	16.175451	2.250282e-09	5.799272e-10	-1790.667	7.7091023e+08	3.1800166e+08	2.0117939	6.7325226	1.8763494	4039	482	468	23	114	315	1	0	0	16.997457	0	7.096861	0	0	0	0	0	0	297.846	-5.22782e-13	297.647	2.25029e-09	5.81863e-10	0	78	7116380.9	7116380.9
7.1	16.168104	-44.8903	12.8442	0	0	0	86793017	2	0	0	0	297.613	16.172951	2.249903e-09	5.757634e-10	-1790.667	7.7091023e+08	3.1574809e+08	2.0122317	5.8510638	1.8944947	4043	482	489	30	123	314	0	0	0	16.997457	0	7.0979287	0	0	0	0	0	0	297.846	-5.22782e-13	297.617	2.24687e-09	5.72651e-10	0	63	7114388.9	7114388.9
7.101	16.165764	-44.8966	12.844	0	0	0	86793021	2	0	0	0	297.58254	16.170451	2.281692e-09	5.709637e-10	-1790.667	7.7091023e+08	3.1314536e+08	2.0121414	6.3020142	1.885336	4075	473	492	22	102	284	1	0	0	16.997457	0	7.0989967	0	0	0	0	0	0	297.846	-5.22782e-13	297.586	2.2817e-09	5.75763e-10	0	72	7214104.2	7214104.2
