# Scan number: 2
# Command: ascan monoE 5.703 5.803 100 2
# Date: Mon Jul 29 04:26:58 2024
# date: Mon Jul 29 04:26:58 2024
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
5.703	20.283579	-36.0577	13.1894	0	0	0	86789902	2	0	0	0	297.27163	20.289865	2.800555e-10	3.08944e-10	-1790.667	7.7091023e+08	1.5755335e+08	2.0120157	1.9182992	1.9734192	495	10	359	12	43	9	0	0	0	16.997457	0	5.7013074	0	0	0	0	0	0	297.846	-5.22782e-13	297.283	2.77877e-10	3.10825e-10	0	77	1056250.9	1056250.9
5.704	20.279864	-36.064	13.189	0	0	0	86789907	2	0	0	0	297.2409	20.287365	2.72018e-10	3.089617e-10	-1790.667	7.7091023e+08	1.5756347e+08	2.0120435	3.2457668	1.9467373	498	10	378	9	37	6	0	0	0	16.997457	0	5.7019804	0	0	0	0	0	0	297.846	-5.22782e-13	297.245	2.76092e-10	3.07795e-10	0	80	1025794.2	1025794.2
5.705	20.276154	-36.0703	13.1887	0	0	0	86789911	2	0	0	0	297.21043	20.282365	2.724765e-10	3.043503e-10	-1790.667	7.7091023e+08	1.5521285e+08	2.011887	2.3792032	1.9640202	480	9	349	11	35	15	0	0	0	16.997457	0	5.7033268	0	0	0	0	0	0	297.846	-5.22782e-13	297.215	2.75054e-10	3.04126e-10	0	55	1027380.5	1027380.5
5.706	20.272444	-36.0766	13.1883	0	0	0	86789915	2	0	0	0	297.17449	20.279865	2.670552e-10	2.992984e-10	-1790.667	7.7091023e+08	1.5263755e+08	2.012264	3.5574974	1.9406778	480	7	356	9	36	12	0	0	0	16.997457	0	5.7040003	0	0	0	0	0	0	297.846	-5.22782e-13	297.186	2.70606e-10	3.00478e-10	0	73	1006799.4	1006799.4
5.707	20.268734	-36.083	13.188	0	0	0	86789920	2	0	0	0	297.14589	20.274865	2.689829e-10	2.97522e-10	-1790.667	7.7091023e+08	1.5173269e+08	2.0122006	2.5902944	1.9600787	473	8	352	9	34	11	0	0	0	16.997457	0	5.7053477	0	0	0	0	0	0	297.846	-5.22782e-13	297.15	2.68389e-10	2.9535e-10	0	84	1013926	1013926
5.708	20.265029	-36.0893	13.1877	0	0	0	86789924	2	0	0	0	297.11585	20.272365	2.696388e-10	2.907612e-10	-1790.667	7.7091023e+08	1.4828583e+08	2.0120579	3.418176	1.9432822	469	7	324	6	43	12	0	0	0	16.997457	0	5.7060217	0	0	0	0	0	0	297.846	-5.22782e-13	297.119	2.70141e-10	2.90704e-10	0	54	1016257.2	1016257.2
5.709	20.261324	-36.0956	13.1873	0	0	0	86789928	2	0	0	0	297.07834	20.267365	2.686174e-10	2.858869e-10	-1790.667	7.7091023e+08	1.4580104e+08	2.0122282	2.7383932	1.9571254	449	2	319	8	42	9	0	0	0	16.997457	0	5.7073701	0	0	0	0	0	0	297.846	-5.22782e-13	297.085	2.68973e-10	2.88831e-10	0	94	1012267	1012267
5.71	20.257619	-36.1019	13.187	0	0	0	86789933	2	0	0	0	297.04849	20.264865	2.598964e-10	2.848637e-10	-1790.667	7.7091023e+08	1.4528028e+08	2.0119165	5.1425912	1.9084518	474	6	331	8	47	13	0	0	0	16.997457	0	5.7080446	0	0	0	0	0	0	297.846	-5.22782e-13	297.053	2.63834e-10	2.84309e-10	0	74	979266.45	979266.45
5.711	20.253919	-36.1083	13.1866	0	0	0	86789937	2	0	0	0	297.00942	20.259865	2.651781e-10	2.807781e-10	-1790.667	7.7091023e+08	1.4319768e+08	2.0119494	1.8574622	1.9745782	458	9	343	10	31	8	0	0	0	16.997457	0	5.7093941	0	0	0	0	0	0	297.846	-5.22782e-13	297.021	2.68295e-10	2.81322e-10	0	66	999028.68	999028.68
5.712	20.250214	-36.1146	13.1863	0	0	0	86789942	2	0	0	0	296.97991	20.257365	2.641481e-10	2.78618e-10	-1790.667	7.7091023e+08	1.4209708e+08	2.0118646	3.2072456	1.9473392	474	6	366	10	40	7	0	0	0	16.997457	0	5.7100691	0	0	0	0	0	0	297.846	-5.22782e-13	296.988	2.68528e-10	2.76473e-10	0	79	995010.1	995010.1
