monoE,roi5_mean,roi5_std,mcaLt_mean,mcaLt_std,roi5/mcaLt_mean,roi5/mcaLt_std
7.062,237.0,,1.8811251,,125.98843107244701,
7.064,260.0,,1.8854461,,137.89839974741255,
7.066,257.0,,1.8969923,,135.47761896555932,
7.068,242.0,,1.8890646,,128.10573021166138,
7.07,273.0,,1.8912291,,144.3505707478803,
7.072,234.0,,1.8812518,,124.38526304665861,
7.074,257.0,,1.8939155,,135.6977119623341,
7.076,272.0,,1.8936979,,143.63431463909845,
7.078,256.0,,1.8948989,,135.0995559710336,
7.08,279.0,,1.8981104,,146.988288984666,
7.082,268.0,,1.9034502,,140.7969591219145,
7.084,240.0,,1.8952998,,126.62904306748726,
7.086,235.0,,1.8967296,,123.89747067795008,
7.088,267.0,,1.895375,,140.86922113038318,
7.09,214.0,,1.88984,,113.23709943698938,
7.092,289.5,13.435028842544403,1.8974133,0.0012293758497708774,152.57387957599474,6.981851660725591
7.093,257.0,,1.8855366,,136.30072203318673,
7.094,271.0,,1.8893578,,143.43498092314755,
7.095,267.0,,1.8855814,,141.6008876625533,
7.096,301.0,,1.8931699,,158.9925975476369,
7.097,269.0,,1.8890925,,142.39641520994869,
7.098,274.0,,1.8898371,,144.9860413894933,
7.099,250.0,,1.8884947,,132.3805674434776,
7.1,243.0,,1.8934938,,128.3341936477426,
7.101,290.0,,1.8964941,,152.91373698447046,
7.102,255.0,,1.8986093,,134.30883331288854,
7.103,273.0,,1.89736,,143.88413374372814,
7.104,259.0,,1.8970858,,136.52519037357195,
7.105,288.0,,1.8898006,,152.3970306708549,
7.106,245.0,,1.901631,,128.83677222342294,
7.107,307.0,,1.898016,,161.74784617200277,
7.108,273.0,,1.8900755,,144.43867453972078,
7.109,290.0,,1.8852237,,153.82789851411266,
7.11,270.0,,1.8966701,,142.35475109772648,
7.111,315.0,,1.891599,,166.5257805697719,
7.112,361.0,,1.8908874,,190.91565156127223,
7.113,437.0,,1.8941568,,230.70951676228705,
7.114,533.0,,1.8947037,,281.3104761446341,
7.115,782.0,,1.8915427,,413.41916309898795,
7.116,984.0,,1.8857043,,521.8209450972774,
7.117,1157.0,,1.8918794,,611.5611809082545,
7.118,1191.0,,1.8871958,,631.0950882785984,
7.119,1282.0,,1.8840413,,680.4521748010513,
7.12,1338.0,,1.8832173,,710.4862513741775,
7.121,1367.0,,1.8786176,,727.6627239093257,
7.122,1430.0,,1.8744928,,762.8730289068061,
7.123,1608.0,,1.8774054,,856.5012117255015,
7.124,1739.0,,1.8712387,,929.3309292929865,
7.125,1940.0,,1.8744723,,1034.9579452307723,
7.126,2114.0,,1.8673741,,1132.0709653196968,
7.127,2389.0,,1.8672611,,1279.4140037512698,
7.128,2409.0,,1.8640237,,1292.3655423479863,
7.129,2645.0,,1.8546947,,1426.110723236552,
