monoE,roi4_mean,roi4_std,mcaLt_mean,mcaLt_std,roi4/mcaLt_mean,roi4/mcaLt_std
8.283,306.0,,1.8637946,,164.18118176756172,
8.285,306.0,,1.8704925,,163.59327824089112,
8.287,303.0,,1.8662566,,162.35709494610762,
8.289,239.0,,1.8636566,,128.2425099130387,
8.291,284.0,,1.8610621,,152.60103357109898,
8.293,269.0,,1.8650106,,144.23510515168118,
8.295,319.0,,1.8568432,,171.79695086801084,
8.297,282.0,,1.864017,,151.2861738921909,
8.299,265.0,,1.8695706,,141.74377795628578,
8.301,274.0,,1.8437632,,148.60910555108163,
8.303,273.0,,1.8613168,,146.6703572438609,
8.305,303.0,,1.8634352,,162.60291745052362,
8.307,278.0,,1.8588803,,149.55239452481152,
8.309,252.0,,1.8646698,,135.14457090472533,
8.311,295.0,,1.8566525,,158.88810641732903,
8.313,263.0,1.4142135623730951,1.8578595,0.0020821466278820393,141.5612739491213,0.9198569060603967
8.314,277.0,,1.8645578,,148.56069358643643,
8.315,297.0,,1.865184,,159.23361984662102,
8.316,287.0,,1.8503917,,155.1022953680564,
8.317,299.0,,1.8544771,,161.23143283893882,
8.318,287.0,,1.8513571,,155.02141645174774,
8.319,267.0,,1.8611802,,143.45736108733587,
8.32,275.0,,1.8505101,,148.60767309511039,
8.321,330.0,,1.8575002,,177.65812353613742,
8.322,336.0,,1.8503638,,181.5859129972171,
8.323,313.0,,1.8680778,,167.55190816999163,
8.324,309.0,,1.8595008,,166.1736311164803,
8.325,328.0,,1.8523619,,177.0712299794117,
8.326,350.0,,1.8580454,,188.36999354267664,
8.327,352.0,,1.8600579,,189.24142092566044,
8.328,397.0,,1.8411277,,215.6287149446505,
8.329,457.0,,1.8469667,,247.43272306966875,
8.33,449.0,,1.8540918,,242.16708147892138,
8.331,511.0,,1.8579322,,275.03694698870066,
8.332,702.0,,1.848295,,379.80950010685524,
8.333,1101.0,,1.8317702,,601.0579274627353,
8.334,1539.0,,1.8133645,,848.6986482861003,
8.335,2179.0,,1.7868797,,1219.4441517243717,
8.336,2763.0,,1.7703594,,1560.7000476852327,
8.337,3144.0,,1.7667488,,1779.5399096917456,
8.338,3419.0,,1.7493664,,1954.4218981226575,
8.339,3619.0,,1.7540314,,2063.246986342434,
8.34,3769.0,,1.7297702,,2178.9021454988647,
8.341,4074.0,,1.7225715,,2365.068735898626,
8.342,4314.0,,1.7196038,,2508.717415023158,
8.343,4684.0,,1.7047155,,2747.6725588521954,
8.344,4853.0,,1.6837734,,2882.2168113595335,
8.345,5410.0,,1.6928288,,3195.834097340499,
8.346,5627.0,,1.6692461,,3370.9828646596807,
8.347,6017.0,,1.6518966,,3642.4798017018743,
8.348,6453.0,,1.633736,,3949.842569423701,
8.349,6726.0,,1.6337869,,4116.81596908385,
8.35,6806.0,,1.621087,,4198.417481603394,
8.351,6764.0,,1.6254314,,4161.356794263972,
8.352,6728.0,,1.6284074,,4131.644206480516,
8.353,6813.0,,1.6289904,,4182.3450893264935,
8.354,6640.0,,1.6382496,,4053.1064375050055,
8.355,6723.0,,1.6411651,,4096.479994608708,
8.356,6594.0,,1.641985,,4015.871034144648,
8.357,6520.0,,1.6455926,,3962.0985169719406,
8.358,6621.0,,1.6353165,,4048.7575340920243,
8.359,6585.0,,1.6438672,,4005.798035267082,
8.36,6389.0,,1.6506454,,3870.60721824324,
8.361,6388.0,,1.6558938,,3857.7353209487223,
8.362,6162.0,,1.6516694,,3730.770818906011,
8.363,6228.0,,1.6644989,,3741.666636126945,
8.364,6144.0,,1.6643094,,3691.6212814756677,
8.365,5982.0,,1.6692976,,3583.543162106026,
8.366,5890.0,,1.6792947,,3507.4248730732015,
8.367,5814.0,,1.681815,,3456.979513204484,
8.368,5849.0,,1.6932941,,3454.213889955679,
8.369,5625.0,,1.68928,,3329.820988823641,
8.37,5657.0,,1.686399,,3354.484911340673,
8.371,5524.0,,1.6964464,,3256.218410437253,
8.372,5597.0,,1.6861088,,3319.4773670595873,
8.373,5658.0,,1.6957971,,3336.4840640428033,
8.374,5680.0,,1.6998029,,3341.563895437524,
8.375,5589.0,,1.6955626,,3296.2510496516024,
8.376,5655.0,,1.7012381,,3324.0497023902767,
8.377,5720.0,,1.6907037,,3383.2066493969346,
8.378,5887.0,,1.7038691,,3455.0776230404085,
8.379,5783.0,,1.688847,,3424.2296667489713,
8.38,5781.0,,1.6934973,,3413.645832207704,
8.381,5857.0,,1.6798291,,3486.664208876962,
8.382,5820.0,,1.6750506,,3474.5219039950193,
8.383,5891.0,,1.6887485,,3488.3820770233106,
8.384,5759.0,,1.6787296,,3430.5703551066235,
8.385,5804.0,,1.6743888,,3466.339478620497,
8.386,5766.0,,1.6957491,,3400.267173958695,
8.387,5689.0,,1.7018624,,3342.808443267799,
8.388,5705.0,,1.6980365,,3359.7628790664985,
8.389,5548.0,,1.6943629,,3274.3870867333085,
8.39,5602.0,,1.688176,,3318.3743875046207,
8.391,5445.0,,1.696464,,3209.6171802054155,
8.392,5613.0,,1.7140435,,3274.7126896137697,
8.393,5431.0,,1.6820534,,3228.791666186103,
8.394,5313.0,,1.7061821,,3113.9700738860174,
8.395,5480.0,,1.6951203,,3232.808904477163,
8.396,5460.0,,1.704727,,3202.8588741775075,
8.397,5370.0,,1.6965139,,3165.3144722244833,
8.398,5484.0,,1.6910509,,3242.953834210431,
8.399,5480.0,,1.6954093,,3232.2578388593247,
8.4,5580.0,,1.6802877,,3320.859874175119,
8.401,5651.0,,1.6848435,,3354.0207146835896,
8.402,5506.0,,1.6818934,,3273.691424200844,
8.403,5514.0,,1.6881139,,3266.367275336101,
8.404,5630.0,,1.6884346,,3334.449554634808,
8.405,5678.0,,1.6910774,,3357.622779418612,
8.406,5825.0,,1.6778019,,3471.8043888256416,
8.407,5716.0,,1.6845315,,3393.228324908142,
8.408,6053.0,,1.6921581,,3577.0889256742616,
8.409,5840.0,,1.6746115,,3487.3760272158647,
8.41,5928.0,,1.6689936,,3551.8410615834596,
