,monoE,roi4_mean,roi4_std,mcaLt_mean,mcaLt_std,roi4/mcaLt_mean,roi4/mcaLt_std
0,8.28,306.0,,1.8637946,,164.18118176756172,
1,8.282,306.0,,1.8704925,,163.59327824089112,
2,8.284,303.0,,1.8662566,,162.35709494610762,
3,8.286,239.0,,1.8636566,,128.2425099130387,
4,8.288,284.0,,1.8610621,,152.60103357109898,
5,8.29,269.0,,1.8650106,,144.23510515168118,
6,8.292,319.0,,1.8568432,,171.79695086801084,
7,8.294,282.0,,1.864017,,151.2861738921909,
8,8.296,265.0,,1.8695706,,141.74377795628578,
9,8.298,274.0,,1.8437632,,148.60910555108163,
10,8.3,273.0,,1.8613168,,146.6703572438609,
11,8.302,303.0,,1.8634352,,162.60291745052362,
12,8.304,278.0,,1.8588803,,149.55239452481152,
13,8.306,252.0,,1.8646698,,135.14457090472533,
14,8.308,295.0,,1.8566525,,158.88810641732903,
15,8.31,263.0,1.4142135623730951,1.8578595,0.002082146627882,141.5612739491213,0.9198569060603968
16,8.311,277.0,,1.8645578,,148.56069358643643,
17,8.312,297.0,,1.865184,,159.23361984662102,
18,8.313,287.0,,1.8503917,,155.1022953680564,
19,8.314,299.0,,1.8544771,,161.23143283893882,
20,8.315,287.0,,1.8513571,,155.02141645174774,
21,8.316,267.0,,1.8611802,,143.45736108733587,
22,8.317,275.0,,1.8505101,,148.6076730951104,
23,8.318,330.0,,1.8575002,,177.65812353613742,
24,8.318999999999999,336.0,,1.8503638,,181.5859129972171,
25,8.32,313.0,,1.8680778,,167.55190816999163,
26,8.321,309.0,,1.8595008,,166.1736311164803,
27,8.322,328.0,,1.8523619,,177.0712299794117,
28,8.323,350.0,,1.8580454,,188.36999354267664,
29,8.324,352.0,,1.8600579,,189.24142092566044,
30,8.325,397.0,,1.8411277,,215.6287149446505,
31,8.326,457.0,,1.8469667,,247.43272306966875,
32,8.327,449.0,,1.8540918,,242.16708147892135,
33,8.328,511.0,,1.8579322,,275.03694698870066,
34,8.329,702.0,,1.848295,,379.8095001068552,
35,8.33,1101.0,,1.8317702,,601.0579274627353,
36,8.331,1539.0,,1.8133645,,848.6986482861003,
37,8.332,2179.0,,1.7868797,,1219.4441517243715,
38,8.333,2763.0,,1.7703594,,1560.700047685233,
39,8.334,3144.0,,1.7667488,,1779.5399096917456,
40,8.334999999999999,3419.0,,1.7493664,,1954.4218981226572,
41,8.336,3619.0,,1.7540314,,2063.246986342434,
42,8.337,3769.0,,1.7297702,,2178.9021454988647,
43,8.338,4074.0,,1.7225715,,2365.068735898626,
44,8.339,4314.0,,1.7196038,,2508.717415023158,
45,8.34,4684.0,,1.7047155,,2747.6725588521954,
46,8.341,4853.0,,1.6837734,,2882.216811359533,
