# Scan number: 7
# Command: ascan monoE 7.062 7.092 15 2
# Date: Mon Jul 29 06:41:21 2024
# date: Mon Jul 29 06:41:21 2024
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
7.062	16.257509	-44.6501	12.851	0	0	0	86797972	2	0	0	0	297.05104	16.262951	2.288618e-09	1.358345e-10	-1790.667	7.7091023e+08	74229061	2.0120381	4.5418146	1.920655	1225	100	113	34	117	92	1	0	0	16.997457	0	7.0597002	0	0	0	0	0	0	297.846	-5.22782e-13	296.86	2.26346e-09	1.35284e-10	0	65	7267660.8	7267660.8
7.064	16.252779	-44.6627	12.8506	0	0	0	86797976	2	0	0	0	297.0189	16.257951	2.316993e-09	1.372733e-10	-1790.667	7.7091023e+08	75029107	2.0122016	5.5415203	1.900695	1168	106	107	30	90	75	0	0	0	16.997457	0	7.0618128	0	0	0	0	0	0	297.846	-5.22782e-13	297.022	2.31703e-09	1.38096e-10	0	74	7356114.1	7356114.1
7.066	16.248049	-44.6754	12.8503	0	0	0	86797982	2	0	0	0	296.96334	16.252951	2.282451e-09	1.3803e-10	-1790.667	7.7091023e+08	75456580	2.0119683	5.3672257	1.9039814	1139	104	114	16	93	107	4	0	0	16.997457	0	7.0639266	0	0	0	0	0	0	297.846	-5.22782e-13	296.983	2.27339e-09	1.37983e-10	0	54	7244820.6	7244820.6
7.068	16.243324	-44.688	12.8499	0	0	0	86797987	2	0	0	0	296.93347	16.247951	2.261001e-09	1.365734e-10	-1790.667	7.7091023e+08	74674060	2.0118685	5.0080729	1.9111126	1184	103	99	30	116	96	2	0	0	16.997457	0	7.0660418	0	0	0	0	0	0	297.846	-5.22782e-13	296.937	2.25525e-09	1.38374e-10	0	39	7175123.9	7175123.9
7.07	16.238604	-44.7006	12.8495	0	0	0	86797992	2	0	0	0	296.8942	16.245451	2.249572e-09	1.374829e-10	-1790.667	7.7091023e+08	75185213	2.0119523	4.9472822	1.9124154	1166	99	102	21	96	103	2	0	0	16.997457	0	7.0670999	0	0	0	0	0	0	297.846	-5.22782e-13	296.906	2.25011e-09	1.36963e-10	0	71	7137252.5	7137252.5
7.072	16.233884	-44.7133	12.8492	0	0	0	86797996	2	0	0	0	296.8635	16.240451	2.235945e-09	1.348219e-10	-1790.667	7.7091023e+08	73743611	2.0121872	4.7166347	1.9172797	1194	114	98	25	104	77	3	0	0	16.997457	0	7.0692171	0	0	0	0	0	0	297.846	-5.22782e-13	296.867	2.24574e-09	1.3529e-10	0	65	7092426.4	7092426.4
7.074	16.229164	-44.7259	12.8488	0	0	0	86798001	2	0	0	0	296.82438	16.235451	2.239316e-09	1.361009e-10	-1790.667	7.7091023e+08	74456952	2.012184	5.1993337	1.9075638	1233	93	118	30	121	100	0	0	0	16.997457	0	7.0713355	0	0	0	0	0	0	297.846	-5.22782e-13	296.828	2.24215e-09	1.35314e-10	0	58	7101526.4	7101526.4
7.076	16.224454	-44.7386	12.8485	0	0	0	86798005	2	0	0	0	296.78711	16.230451	2.214852e-09	1.32502e-10	-1790.667	7.7091023e+08	72501515	2.012256	5.5012961	1.9015558	1129	88	94	21	102	81	1	0	0	16.997457	0	7.0734554	0	0	0	0	0	0	297.846	-5.22782e-13	296.798	2.20985e-09	1.33382e-10	0	79	7022369.4	7022369.4
7.078	16.219739	-44.7512	12.8481	0	0	0	86798010	2	0	0	0	296.75557	16.225451	2.223328e-09	1.351061e-10	-1790.667	7.7091023e+08	73940110	2.0120182	4.2519694	1.9264678	1132	128	104	22	104	95	1	0	0	16.997457	0	7.0755765	0	0	0	0	0	0	297.846	-5.22782e-13	296.758	2.2253e-09	1.34095e-10	0	79	7047663.8	7047663.8
7.08	16.215034	-44.7639	12.8477	0	0	0	86798014	2	0	0	0	296.71337	16.220451	2.238532e-09	1.353335e-10	-1790.667	7.7091023e+08	74078303	2.0121706	5.0064782	1.9114317	1155	95	106	33	104	91	0	0	0	16.997457	0	7.0776989	0	0	0	0	0	0	297.846	-5.22782e-13	296.726	2.23539e-09	1.34956e-10	0	40	7094269.2	7094269.2
7.082	16.210329	-44.7765	12.8474	0	0	0	86798019	2	0	0	0	296.68391	16.215451	2.190016e-09	1.334612e-10	-1790.667	7.7091023e+08	73067023	2.0120426	4.4618539	1.9222682	1158	109	105	21	118	83	2	0	0	16.997457	0	7.0798227	0	0	0	0	0	0	297.846	-5.22782e-13	296.688	2.21005e-09	1.33554e-10	0	68	6938960.4	6938960.4
7.084	16.205624	-44.7892	12.847	0	0	0	86798023	2	0	0	0	296.64404	16.210451	2.194644e-09	1.33987e-10	-1790.667	7.7091023e+08	73368530	2.0121069	4.5881459	1.9197885	1148	106	95	26	101	107	1	0	0	16.997457	0	7.0819478	0	0	0	0	0	0	297.846	-5.22782e-13	296.656	2.20711e-09	1.34145e-10	0	77	6952067.9	6952067.9
7.086	16.200924	-44.8018	12.8467	0	0	0	86798028	2	0	0	0	296.61325	16.206359	2.178176e-09	1.31795e-10	-1790.667	7.7091023e+08	72181675	2.0120211	5.09636	1.9094813	1093	97	103	20	96	102	2	0	0	16.997457	0	7.0836879	0	0	0	0	0	0	297.846	-5.22782e-13	296.617	2.1883e-09	1.32378e-10	0	75	6898358.1	6898358.1
7.088	16.196229	-44.8144	12.8463	0	0	0	86798032	2	0	0	0	296.57296	16.202951	2.173273e-09	1.30342e-10	-1790.667	7.7091023e+08	71399202	2.0122493	4.8787116	1.9140774	1116	110	117	16	95	84	1	0	0	16.997457	0	7.085138	0	0	0	0	0	0	297.846	-5.22782e-13	296.581	2.17837e-09	1.30786e-10	0	70	6881291.1	6881291.1
7.09	16.191534	-44.8271	12.8459	0	0	0	86798037	2	0	0	0	296.54119	16.197951	2.153262e-09	1.310134e-10	-1790.667	7.7091023e+08	71780378	2.0122122	5.4044719	1.9034627	1088	90	108	21	79	88	1	0	0	16.997457	0	7.0872664	0	0	0	0	0	0	297.846	-5.22782e-13	296.545	2.16414e-09	1.31618e-10	0	69	6816406	6816406
7.092	16.186844	-44.8397	12.8456	0	0	0	86798043	2	0	0	0	296.49616	16.192951	2.139124e-09	1.299334e-10	-1790.667	7.7091023e+08	71201964	2.0118787	4.3944279	1.9234682	1149	102	96	26	111	88	2	0	0	16.997457	0	7.0893962	0	0	0	0	0	0	297.846	-5.22782e-13	296.511	2.13288e-09	1.29597e-10	0	51	6770137.6	6770137.6
