Energy	Ni metal	NiO	NiF2O4
8316	0.0013533947213893	2.85174506717093E-4	0
8316.2	0.00128640843031573	2.71059790432313E-4	0
8316.4	0.00121942213924276	2.56945074147661E-4	0
8316.6	0.00115243584816918	2.42830357862881E-4	0
8316.8	0.00108544955709622	2.2871564157823E-4	0
8317	0.00101846326602264	2.1460092529345E-4	0
8317.2	9.51476974949067E-4	2.0048620900867E-4	0
8317.4	8.84490683876101E-4	1.86371492724019E-4	0
8317.6	8.17504392802526E-4	1.72256776439239E-4	0
8317.8	7.5051810172956E-4	1.58142060154587E-4	0
8318	6.83531810655984E-4	1.44027343869808E-4	0
8318.2	6.16545519582409E-4	1.29912627585028E-4	0
8318.4	5.49559228509443E-4	1.15797911300376E-4	0
8318.6	4.82572937435867E-4	1.01683195015596E-4	0
8318.8	4.15586646362901E-4	8.7568478730945E-5	0
8319	3.48600355289326E-4	7.34537624461738E-5	0
8319.2	2.8161406421575E-4	5.93390461614331E-5	0
8319.4	2.14627773142784E-4	4.52243298768207E-5	0
8319.6	1.47641482069209E-4	3.110961359208E-5	0
8319.8	8.06551909962425E-5	1.69948973074677E-5	0
8320	1.36688999226671E-5	2.88018102272699E-6	0
8320.2	-5.33173911509083E-5	-1.1234535261533E-5	0
8320.4	-1.20303682223875E-4	-2.53492515461146E-5	0
8320.6	-1.8728997329745E-4	-3.94639678308246E-5	0
8320.8	-2.54276264370416E-4	-5.35786841154063E-5	0
8321	-3.21262555443992E-4	-6.76934004001163E-5	0
8321.2	-3.88248846517567E-4	-8.18081166848263E-5	0
8321.4	-4.55235137590533E-4	-9.59228329694079E-5	0
8321.6	-5.22221428664109E-4	-1.10037549254118E-4	0
8321.8	-5.56695544997359E-4	-1.241522655387E-4	0
8322	-1.17711116567908E-4	-1.3826698182341E-4	0
8322.2	3.21273311861542E-4	-1.5238169810812E-4	0
8322.4	7.60257740287001E-4	-1.66496414392701E-4	0
8322.6	0.00117774089058206	-1.8061113067748E-4	0
8322.8	0.00117057379787316	-1.94725846962049E-4	0
8323	0.00116340670516419	-2.08840563246747E-4	0
8323.2	0.00115623961245522	-2.22955279531439E-4	0
8323.4	0.00118490798328342	-2.37069995815925E-4	0
8323.6	0.00229311969342314	-2.51184712100539E-4	0
8323.8	0.00337445480588473	-2.65299428385036E-4	0
8324	0.00336728771317569	-2.79414144669911E-4	0
8324.2	0.00336012062046666	-2.93528860954786E-4	0
8324.4	0.00335295352775785	-2.74373174556988E-4	0
8324.6	0.00335295352774421	0.00121271300543365	0
8324.8	0.00423808947730613	0.00269979918541075	0
8325	0.00512322542687609	0.00418688536540139	0
8325.2	0.00511605833416702	0.00417277064911678	0
8325.4	0.00510889124145802	0.00415865593283229	0
8325.6	0.0062081440856988	0.00414454121654768	0
8325.8	0.00731635579579832	0.00413042650026279	0
8326	0.00732710643488779	0.00411631178397793	0
8326.2	0.00731993934217875	0.00410219706769328	0
8326.4	0.00818357401360622	0.00408808235140875	0
8326.6	0.00906870996317618	0.0048748769648961	0
8326.8	0.0101697545805935	0.00666220332411904	0
8327	0.0112779662907282	0.00844952968335822	0
8327.2	0.0132426455795702	0.00856849657776508	0
8327.4	0.0152431603319255	0.0085543818614806	0
8327.6	0.0161820494768294	0.00854026714519571	2.9471544725845E-4
8327.8	0.0170671854263913	0.00859067684621565	0.00634654471546376
8328	0.0181628547242852	0.00957736272744785	0.0121951219512194
8328.2	0.0192710664344199	0.0105764830015983	0.0121951219512194
8328.4	0.0230929186214348	0.0118133690321929	0.0121951219512194
8328.6	0.0271011152188724	0.0130852057888241	0.0121951219512194
8328.8	0.028212014588838	0.0153228924169321	0.0121951219512194
8329	0.029097150538408	0.0175605790450614	0.0121951219512194
8329.2	0.0311759332009586	0.0197982656732401	0.0121951219512194
8329.4	0.0333445488550702	0.0220238539731178	0.0121951219512194
8329.6	0.0353450636074799	0.0220097392568331	0.0121951219512194
8329.8	0.0375671609761257	0.0219956245405486	0.0121951219512194
8330	0.0426907363763819	0.021981509824264	0.0121951219512194
8330.2	0.0478002762200976	0.0219673951079794	0.0121951219512194
8330.4	0.0527007758598786	0.0229298843327145	0.0121951219512194
8330.6	0.0575033252327013	0.0239165702139467	0.0179014227641778
8330.8	0.0606192187879405	0.02394143899979	0.0239532520323834
8331	0.0641531927512696	0.0239273242835054	0.0243902439024392
8331.2	0.0761921167293274	0.0250969973794338	0.0243902439024392
8331.4	0.0881530985740156	0.0263338834100618	0.0243902439024392
8331.6	0.098184340706673	0.0285030128448302	0.0246104336044192
8331.8	0.108119424345462	0.0307406994729381	0.0279725609756292
8332	0.115027605830384	0.030914108844407	0.0313008130081192
8332.2	0.122189621848704	0.0310572723952602	0.0339905149051116
8332.4	0.140251591361981	0.0332949590234186	0.0365853658536585
8332.6	0.158182164175657	0.0354637523935128	0.0365853658536585
8332.8	0.167321103266183	0.0364504382747361	0.0367073170731278
8333	0.176445110913609	0.0374875338570004	0.0427591463413608
8333.2	0.183353292398406	0.0397252204851286	0.0487804878048779
8333.4	0.19026147388314	0.0419373661980504	0.0487804878048779
8333.6	0.209422397611731	0.0431742522286563	0.0487804878048779
8333.8	0.22859974592776	0.0444084497418667	0.0487804878048779
8334	0.23761176775175	0.0453951356230988	0.0487804878048779
8334.2	0.246527631081831	0.0463818215043309	0.0487804878048779
8334.4	0.255662687996941	0.0498604269390898	0.0487804878048779
8334.6	0.264801627087344	0.0533491143141142	0.0487804878048779
8334.8	0.282202086517395	0.0543828492496922	0.0487804878048779
8335	0.289802976943074	0.0553695351309467	0.0519563008129812
8335.2	0.297403867368752	0.0575652136749067	0.0553184281843129
8335.4	0.305004757794362	0.0598029003030046	0.063055555555659
8335.6	0.308092957451864	0.0653740124270245	0.070571364047005
8335.8	0.310985775246523	0.0711145011464095	0.0719162149954891
8336	0.322066210595797	0.0735733183296936	0.073396567298989
8336.2	0.32769464166476	0.0758110049578219	0.0767586946702448
8336.4	0.333323072733672	0.0782374530027628	0.0804008581750388
8336.6	0.338951503802635	0.081003204162607	0.0891423893404615
8336.8	0.344108195572144	0.0877444934794997	0.097784552845477
8337	0.34923177097254	0.0942740620521819	0.10383638211371
8337.2	0.358901672181219	0.0975125492778124	0.109888211381948
8337.4	0.36893291431383	0.100762462702307	0.115940040650317
8337.6	0.373768177121221	0.104251150077331	0.122014453477931
8337.8	0.378182346083719	0.107940804126887	0.13142841011732
8338	0.383082845723545	0.117934695385997	0.140842366756793
8338.2	0.388418148987712	0.127860029451629	0.149589543812021
8338.4	0.399564769923339	0.133600518171015	0.158331074977365
8338.6	0.410271809172876	0.139339326567069	0.17035569105678
8338.8	0.414280005770404	0.143828814539548	0.182459349593191
8339	0.418335982986046	0.148318302512069	0.212017276422495
8339.2	0.423236482625717	0.159472457055991	0.24227642276448
8339.4	0.428461890468032	0.170717349061669	0.2553556910568
8339.6	0.44050081444609	0.179773955946541	0.267459349593267
8339.8	0.452205274097637	0.188767046608029	0.288328816621226
8340	0.45532116765289	0.193450107832371	0.309846431797748
8340.2	0.458548748402904	0.197939595804912	0.323748460212043
8340.4	0.465456929887607	0.217281293988122	0.338186217576802
8340.6	0.472432004237581	0.237533391371461	0.369309910956768
8340.8	0.482463246370465	0.249115157660732	0.400433604336451
8341	0.492428790153614	0.259864888921467	0.437598238483148
8341.2	0.497552365553986	0.268857979583037	0.476440831075522
8341.4	0.502685497077932	0.278592092849643	0.497958446251362
8341.6	0.509593678562886	0.298844190233075	0.520108401084296
8341.8	0.516501860047776	0.318815337549273	0.568523035230814
8342	0.530529353623502	0.333563031646295	0.616740063234516
8342.2	0.544575959446307	0.348187991387056	0.641619805781808
8342.4	0.549795096082835	0.359551399253008	0.666499548328873
8342.6	0.554918671483208	0.370914807119063	0.702065831075668
8342.8	0.562887881317918	0.382278214985015	0.737704381211461
8343	0.570911441605756	0.420421466982634	0.779920392954517
8343.2	0.590658573792586	0.437170762275059	0.822283197831957
8343.4	0.599629583918768	0.453920057567331	0.90299457994663
8343.6	0.608248012901254	0.468683882768723	0.949539295393653
8343.8	0.616866441883661	0.483431576865678	0.98181571815756
8344	0.625627217290933	0.508936701159645	1.01653116531192
8344.2	0.634394363447288	0.534693201829303	1.05284214092145
8344.4	0.643161509603563	0.557319428098086	1.08915311653064
8344.6	0.668092440678058	0.57982332682593	1.12849347129802
8344.8	0.677167174562589	0.596562106831283	1.16829945799419
8345	0.685190734850209	0.6129821914006	1.21066226287297
8345.2	0.698834191708376	0.629402275969918	1.25470189702071
8345.4	0.71288079753137	0.682501435356182	1.32732384823917
8345.6	0.73064174915101	0.706845141523986	1.398346883469
8345.8	0.748703718664287	0.727380587253757	1.4312957317076
8346	0.758229925093751	0.745380883292776	1.46432926829344
8346.2	0.767166149482608	0.763197688020147	1.500640243903
8346.4	0.778312770418033	0.777945382117368	1.53716802168029
8346.6	0.789718302577637	0.793878645170129	1.59499661246719
8346.8	0.804657211442897	0.839284074346611	1.65282520325357
8347	0.819179533044632	0.892224342354484	1.67184959349617
8347.2	0.827203093332434	0.905721035704617	1.69067750677503
8347.4	0.835017016158388	0.91935383524727	1.70752879403811
8347.6	0.839025212755917	0.944109535319527	1.72433943089484
8347.8	0.843244582620788	0.968865235391559	1.7781266937677
8348	0.852032974087373	1.00040356073668	1.83326558265605
8348.2	0.869415477615049	1.02741106215319	1.85903116531162
8348.4	0.873423674212576	1.04917575302505	1.88323848238444
8348.6	0.87745695563463	1.06807676960197	1.90744579945789
8348.8	0.882357455274389	1.09155413006583	1.93165311653115
8349	0.887320666975442	1.11166785281982	1.97609324956939
8349.2	0.895344227263026	1.13156672222665	2.02028116531206
8349.4	0.903319409674846	1.16629468539564	2.03843665311668
8349.6	0.907327606272394	1.18321585376371	2.05659214092148
8349.8	0.911324156344274	1.19896434845818	2.07474762872642
8350	0.912432368054409	1.2125074187335	2.09301603432742
8350.2	0.913540579764544	1.22656769254133	2.1138612240292
8350.4	0.91642623046652	1.24907159126897	2.13430894308943
8350.6	0.919319048261217	1.27129722844718	2.14036077235783
8350.8	0.920448761249403	1.28929752448595	2.14634146341463
8351	0.921556972959513	1.30723508845253	2.14634146341463
8351.2	0.921572203031537	1.32390098369486	2.14634146341463
8351.4	0.921565035938827	1.33495298578037	2.11350327461578
8351.6	0.921557868846118	1.34114383476881	2.08055442637658
8351.8	0.92155070175341	1.34728750027698	2.05882565492294
8352	0.921543534660701	1.35077618765201	2.037308039747
8352.2	0.921536367567992	1.35426151438028	2.0105916892503
8352.4	0.921529200475283	1.35649920100837	1.9836946702805
8352.6	0.921522033382574	1.35873688763649	1.92316879597374
8352.8	0.921514866289864	1.35973869642802	1.88417344173464
8353	0.921507699197155	1.36072538230925	1.84602811653171
8353.2	0.921500532104446	1.35757292764006	1.79156165311762
8353.4	0.921493365011738	1.35430621098189	1.75347992116336
8353.6	0.921486197919029	1.3519986229016	1.71684680376205
8353.8	0.921479030826319	1.34973270684086	1.68077315479021
8354	0.92147186373361	1.33778728802312	1.64469950581803
8354.2	0.921872026409811	1.32526316583794	1.60971060781971
8354.4	0.926772526049592	1.31979521029319	1.57900632339658
8354.6	0.931388731011943	1.31471712032085	1.55748870822016
8354.8	0.932496942722072	1.30794760157124	1.53616305329698
8355	0.933724605977392	1.30065718257757	1.52136969286352
8355.2	0.936617423772011	1.28613145919729	1.50636856368577
8355.4	0.939575939916419	1.27206446409651	1.47610941734392
8355.6	0.943584136513947	1.26629574594453	1.4458502710018
8355.8	0.947546941524294	1.26045174930576	1.43640130984632
8356	0.950662835079562	1.25268142995872	1.42698735320685
8356.2	0.953769172511215	1.24475114382714	1.41492886178867
8356.4	0.956661990305887	1.22997522029762	1.40282520325226
8356.6	0.959593629852785	1.21525575563301	1.3790040650408
8356.8	0.963601826450186	1.20748543628587	1.35479674796754
8357	0.967556269852333	1.19971511693865	1.34532802619699
8357.2	0.969556784604742	1.19169627776559	1.33658649503172
8357.4	0.971578203377529	1.18367575826925	1.32469173441741
8357.6	0.974694096932796	1.16806572222004	1.31258807588062
8357.8	0.977786100178983	1.15228899809308	1.28999260901675
8358	0.97867123612853	1.14639845649695	1.26763211382099
8358.2	0.979556969335797	1.14087993849432	1.25889058265572
8358.4	0.980665181045926	1.13203740480677	1.2497425474255
8358.6	0.981773392756066	1.12301608471288	1.23427676151745
8358.8	0.980662792015044	1.10768397414853	1.21841463414601
8359	0.979540246119487	1.09190725002093	1.19420731707296
8359.2	0.979518147583645	1.08259245381338	1.17054878048778
8359.4	0.979510980490936	1.07398760950404	1.16449695121944
8359.6	0.979503813398228	1.06721809075451	1.15831300812965
8359.8	0.979496646305519	1.06039076888124	1.14351964769633
8360	0.977540925882576	1.0526204495342	1.12872628726287
8360.2	0.975526076944739	1.04460278658758	1.11057079945809
8360.4	0.97351122800692	1.03107786380464	1.09241531165347
8360.6	0.971496379069084	1.01777171912416	1.0861805555556
8360.8	0.970546142027458	1.01200300097223	1.08012872628728
8361	0.969646671892495	1.00623764346698	1.07668529810301
8361.2	0.969591724181707	1.00071912546435	1.07332317073175
8361.4	0.969584557088998	0.995200607461777	1.06739329268299
8361.6	0.966646646336051	0.986183992273283	1.06134146341462
8361.8	0.963516418595394	0.977162672179429	1.0609756097561
8362	0.961423926153219	0.972572364804719	1.0609756097561
8362.2	0.959409077215391	0.968054647399527	1.06436622320765
8362.4	0.958348184606004	0.964506812642046	1.0684259259259
8362.6	0.957283138340562	0.960989895834469	1.07716745709132
8362.8	0.955268289402799	0.958666848779317	1.08557475158089
8363	0.953253440465013	0.956400932718619	1.08893687895214
8363.2	0.951238591527186	0.955310402853292	1.09242547425476
8363.4	0.949223742589376	0.9542954875395	1.0984773035231
8363.6	0.947208893651538	0.955215754820727	1.10461495031641
8363.8	0.945194044713723	0.956305826416055	1.11335648148155
8364	0.943179195775941	0.957542712446666	1.12210930442636
8364.2	0.941164346838156	0.95876380343762	1.13152326106588
8364.4	0.939149497900338	0.959750489318839	1.14093157181559
8364.6	0.937134648962501	0.960906551795484	1.14698340108396
8364.8	0.935119800024692	0.965396039767984	1.15303523035227
8365	0.933104951086864	0.969851921273191	1.16174062782286
8365.2	0.931090102149027	0.973340608648278	1.17048215898812
8365.4	0.929097949004806	0.976824591117899	1.17661077235765
8365.6	0.927975403109279	0.980063078343545	1.18266260162602
8365.8	0.926837328512908	0.983302573763184	1.18614216350491
8366	0.924822479575071	0.986791261138193	1.18950429087615
8366.2	0.922818082647441	0.990279948513201	1.19223351400179
8366.4	0.921918612512462	0.994758682416155	1.19492321589884
8366.6	0.921017649233135	0.999248170388696	1.19512195121951
8366.8	0.919002800295372	1.00251858375828	1.19490966576329
8367	0.91698795135759	1.00575707098391	1.19221996386629
8367.2	0.916967345966016	1.00707461253619	1.18948735320686
8367.4	0.916960178873307	1.00831149856679	1.18612522583556
8367.6	0.91585405756522	1.01049407058849	1.18263211382098
8367.8	0.914731511669673	1.01273175721665	1.1765802845528
8368	0.91382696484402	1.01287492076752	1.17052845528457
8368.2	0.912927494709036	1.01286080605124	1.16447662601633
8368.4	0.91289285376096	1.01284669133496	1.15848690153576
8368.6	0.912885686668252	1.01283257661867	1.1557971996387
8368.8	0.912878519575543	1.01281846190239	1.15307588075888
8369	0.912871352482834	1.01268336390362	1.14097222222236
8369.2	0.911801066638283	1.01041744784293	1.12886856368584
8369.4	0.910678520742736	1.00819051528438	1.12540368112019
8369.6	0.911664294619117	1.0069253998212	1.12204155374887
8369.8	0.912772506329242	1.00561189104508	1.11606199187003
8370	0.912835517019289	1.00234517438687	1.1100101626018
8370.2	0.91282834992658	0.999097277350349	1.10138154923223
8370.4	0.912821182833871	0.997832161887185	1.0926400180668
8370.6	0.912814015741162	0.99656704642401	1.08897075429089
8370.8	0.913703386790964	0.994306507398072	1.08560862691968
8371	0.914681043391862	0.992040591337313	1.07924057649675
8371.2	0.915789255101997	0.98756824266309	1.07268292682926
8371.4	0.916816837019128	0.983050525258041	1.06663109756092
8371.6	0.916809669926419	0.980705970063767	1.06057926829253
8371.8	0.916859839575361	0.97844005400309	1.05452743902435
8372	0.917744975524935	0.976174137942402	1.04878048780488
8372.2	0.918692823535724	0.973908221881714	1.04878048780488
8372.4	0.920693338288115	0.971642305820981	1.0484722222225
8372.6	0.922650850484255	0.969376389760222	1.03973069105704
8372.8	0.923759062194355	0.966921987244771	1.03109756097563
8373	0.924938944831516	0.964466484881286	1.02773543360438
8373.2	0.927831762626213	0.962200568820588	1.02439024390244
8373.4	0.930695912050054	0.959934652759912	1.02439024390244
8373.6	0.932696426802464	0.957668736699214	1.02439024390244
8373.8	0.934723818152513	0.955402820638535	1.01573678861802
8374	0.937839711707795	0.953136904577786	1.00699525745275
8374.2	0.940937687531267	0.95090795563115	1.0034976287263
8374.4	0.942938202283613	0.949893040317362	1.000135501355
8374.6	0.94495484299456	0.948874428292155	0.997418699187004
8374.8	0.948963039592052	0.947609312828986	0.994728997290036
8375	0.952971236189581	0.946344197365806	0.988863482384872
8375.2	0.954971750941991	0.941826479960695	0.982811653116476
8375.4	0.956972265694382	0.937308762555625	0.9789757329391
8375.6	0.957866360509807	0.937228107033962	0.97560975609756
8375.8	0.958751496459345	0.937213992317678	0.97560975609756
8376	0.962709523407844	0.936228650695143	0.975203252032552
8376.2	0.966717720005409	0.935213735381318	0.96915142276432
8376.4	0.968766612633585	0.933959710052366	0.963414634146341
8376.6	0.970767127385995	0.932694594589185	0.963414634146341
8376.8	0.974710820149137	0.930487825911022	0.963414634146341
8377	0.978719016746684	0.928221909850324	0.963414634146341
8377.2	0.981870745765395	0.927030316172285	0.963355916892552
8377.4	0.984986639320549	0.926010940363747	0.960666214995523
8377.6	0.987890207754298	0.925996825647462	0.958012646793128
8377.8	0.990783025548957	0.925902055409535	0.960702348690108
8378	0.992833709950355	0.924636939946359	0.963392050587113
8378.2	0.994834224702783	0.923433996447776	0.963414634146341
8378.4	0.998713413631476	0.923419881731492	0.963414634146341
8378.6	1.00272161022891	0.923405767015208	0.963414634146341
8378.8	1.00486725860869	0.923391652298923	0.963414634146341
8379	1.0068677733611	0.923377537582639	0.963414634146341
8379.2	1.00903614468251	0.923363422866354	0.963414634146341
8379.4	1.01129285585115	0.923349308150069	0.963414634146341
8379.6	1.01440874940642	0.923335193433784	0.963414634146341
8379.8	1.01750881563192	0.9233210787175	0.96904979674789
8380	1.02040163342655	0.924546202484551	0.975101626016286
8380.2	1.02330848677774	0.925783088515162	0.97896957378671
8380.4	1.02642438033296	0.926775823560501	0.982570009033475
8380.6	1.02936886092096	0.927762509441729	0.985259710930466
8380.8	1.02936169382825	0.928989649596797	0.987804878048778
8381	1.02949040286816	0.930226535627408	0.987804878048778
8381.2	1.03238322066285	0.932410451907816	0.988168473351633
8381.4	1.03516345537617	0.934648138535975	0.997582429991022
8381.6	1.03515628828346	0.936885825164097	1.00683830171634
8381.8	1.03514912119075	0.939123511792195	1.00952800361339
8382	1.03514195409805	0.940297782863865	1.01224593495954
8382.2	1.03520586067469	0.941701127837467	1.01829776422777
8382.4	1.03832175422993	0.947441616556982	1.02434959349595
8382.6	1.04139165894028	0.952920310895788	1.03040142276432
8382.8	1.04138449184757	0.953906996777011	1.03645325203263
8383	1.04137732475486	0.954944092359286	1.04250508130089
8383.2	1.04137015766215	0.957181778987405	1.04855691056915
8383.4	1.04136299056944	0.959476932674671	1.04878048780488
8383.6	1.03935082929141	0.963966420647212	1.04878048780488
8383.8	1.0373359803536	0.968445154550166	1.06025406504078
8384	1.03620507284987	0.971933841925174	1.0723577235773
8384.2	1.03508252695431	0.975422529300183	1.07630702348689
8384.4	1.03417917464414	0.97641929712164	1.0796691508581
8384.6	1.03327970450918	0.977405983002872	1.08600455777276
8384.8	1.03216283256203	0.983057078519126	1.09233062330621
8385	1.03104028666647	0.988797567238668	1.09502032520327
8385.2	1.03013335080992	0.989943883839751	1.09756097560975
8385.4	1.02923388067494	0.990930569720974	1.09756097560975
8385.6	1.02726531921085	0.994298273813543	1.09769647696475
8385.8	1.02525047027303	0.997786961188519	1.10105860433607
8386	1.02132738290148	1.00104124345382	1.10440379403802
8386.2	1.01730485211862	1.00427973067947	1.10709349593501
8386.4	1.01601537268869	1.00678414572867	1.10975609756098
8386.6	1.01489282679313	1.00921114369766	1.10975609756098
8386.8	1.01397872384388	1.01144883032576	1.10975609756098
8387	1.01307925370889	1.01368651695389	1.11310128726291
8387.2	1.00825341128488	1.01592420358202	1.11646341463417
8387.4	1.00311550169925	1.01826472600018	1.1191666666667
8387.6	1.00067801147613	1.02275421397271	1.12185636856377
8387.8	0.998425535407708	1.02717413655784	1.12778963414642
8388	0.995518383427605	1.02941182318601	1.13384146341466
8388.2	0.992533587943154	1.03164950981418	1.1373390921409
8388.4	0.988511057160226	1.03388719644228	1.14070121951211
8388.6	0.984667106437306	1.03612790765248	1.14909044715439
8388.8	0.983544560541763	1.04061739562498	1.15783197831977
8389	0.982374234028134	1.04510688359753	1.16797856614942
8389.2	0.980359385090352	1.04860901355948	1.17770099367666
8389.4	0.978212542195246	1.05209770093445	1.18039069557363
8389.6	0.973297708370002	1.05534324551832	1.18327235772355
8389.8	0.968525021883523	1.05858173274401	1.18932418699192
8390	0.967402475987965	1.06421468076798	1.19537601626033
8390.2	0.966227371412504	1.06995516948742	1.20142784552854
8390.4	0.963320219432493	1.07451691136469	1.20731707317073
8390.6	0.960389177143444	1.07900639933723	1.20731707317073
8390.8	0.956366646360534	1.0815972746614	1.20738821138221
8391	0.952382937329731	1.0844667781511	1.21344004065047
8391.2	0.951260391434173	1.09220886806578	1.21949186991873
8391.4	0.950133067476815	1.09973688478334	1.21951219512195
8391.6	0.948118218538978	1.10422637275586	1.21951219512195
8391.8	0.94610336960116	1.10877971301629	1.21951219512195
8392	0.943198606652007	1.11452020173573	1.21951219512195
8392.2	0.94029145467197	1.12033328042463	1.21951219512195
8392.4	0.940253230177495	1.12807537033899	1.21951219512195
8392.6	0.940246063084786	1.13572605066233	1.21951219512195
8392.8	0.938268841383687	1.13921473803732	1.21951219512195
8393	0.936253992445859	1.14271686799923	1.21951219512195
8393.2	0.933153627591531	1.14820715656941	1.21951219512195
8393.4	0.930023399850959	1.15369744513955	1.22289049026849
8393.6	0.929907531852081	1.16042865251631	1.2264859981933
8393.8	0.929900364759372	1.16716994183321	1.22917570009035
8394	0.929039119118843	1.17171084770077	1.23190492321599
8394.2	0.928139648983854	1.17620033567332	1.23526705058721
8394.4	0.927028450985098	1.1806898236458	1.2385998193315
8394.6	0.925905905089545	1.18517931161832	1.24128952122857
8394.8	0.924993295284626	1.1918026422348	1.24424796747985
8395	0.924093825149663	1.19854393155176	1.25635162601638
8395.2	0.922153633427569	1.20225106096466	1.26837398373986
8395.4	0.920138784489751	1.20573974833973	1.27442581300818
8395.6	0.919981108450143	1.20826787122401	1.28047764227655
8395.8	0.919973941357434	1.21092724263889	1.28384428635955
8396	0.919966774264725	1.21641753120892	1.28720641373081
8396.2	0.919959607172016	1.22172432846733	1.29916327913269
8396.4	0.919952440079307	1.2239620150955	1.31126693766904
8396.6	0.919945272986598	1.22634555379205	1.31425700090332
8396.8	0.919938105893889	1.23208604251141	1.31694670280037
8397	0.91993093880118	1.23775931829611	1.32284044715446
8397.2	0.919923771708471	1.24099780552175	1.32889227642269
8397.4	0.919916604615762	1.24422419441912	1.32926829268293
8397.6	0.919909437523053	1.24646188104724	1.32926829268293
8397.8	0.919902270430344	1.24869956767534	1.32926829268293
8398	0.919895103337635	1.25093725430347	1.32926829268293
8398.2	0.919887936244926	1.2531749409316	1.32926829268293
8398.4	0.919880769152217	1.25762510933737	1.3296341463414
8398.6	0.919873602059508	1.26211459731001	1.33568597560982
8398.8	0.919866434966799	1.26224566253256	1.34146341463415
8399	0.91985926787409	1.26223154781628	1.34146341463415
8399.2	0.919852100781381	1.26340962252905	1.34146341463415
8399.4	0.919844933688672	1.26464650855964	1.34146341463415
8399.6	0.919837766595964	1.26564865341585	1.34146341463415
8399.8	0.919830599503255	1.26663533929708	1.34146341463415
8400	0.919823432410545	1.2689662838721	1.34146341463415
8400.2	0.919816265317835	1.27131638413351	1.34146341463415
8400.4	0.917809479359299	1.27255327016411	1.34146341463415
8400.6	0.915794630421462	1.27371286131982	1.34146341463415
8400.8	0.915763274390907	1.27369874660354	1.34146341463415
8401	0.915756107298198	1.27368463188725	1.34146341463415
8401.2	0.915748940205489	1.27367051717097	1.34146341463415
8401.4	0.91574177311278	1.27365640245468	1.34146341463415
8401.6	0.915734606020071	1.2736422877384	1.34146341463415
8401.8	0.915727438927362	1.27362817302211	1.34146341463415
8402	0.914645207928305	1.27361405830583	1.34146341463415
8402.2	0.913522662032778	1.27359994358954	1.34146341463415
8402.4	0.912613337145325	1.27358582887326	1.34146341463415
8402.6	0.911713867010342	1.27357171415697	1.34146341463415
8402.8	0.91250583075467	1.2723217216041	1.34146341463415
8403	0.91339096670424	1.27105660614093	1.34146341463415
8403.2	0.914485740115547	1.26881757525412	1.3411788617886
8403.4	0.915593951825672	1.26655165919344	1.33512703252029
8403.6	0.915662935092982	1.2642857431327	1.32926829268293
8403.8	0.915655768000273	1.26201982707198	1.32926829268293
8404	0.915648600907564	1.25975391101128	1.32926829268293
8404.2	0.915641433814854	1.25748799495059	1.32926829268293
8404.4	0.915634266722146	1.2550319426631	1.32925813008148
8404.6	0.915627099629436	1.25239359056594	1.32320630081308
8404.8	0.915619932536727	1.24787587316075	1.31715447154474
8405	0.915612765444018	1.24350938485864	1.31110264227651
8405.2	0.91560559835131	1.24124346879796	1.30505081300827
8405.4	0.915716688288261	1.23897755273729	1.30487804878049
8405.6	0.91771720304068	1.23671163667659	1.30487804878049
8405.8	0.919615586721984	1.23432339307477	1.29909044715455
8406	0.919608419629275	1.22880487507216	1.29303861788629
8406.2	0.919601252536566	1.22336062736238	1.29015130984645
8406.4	0.919594085443857	1.2210947113017	1.28746160794942
8406.6	0.91961797575291	1.21882879524101	1.28386610002458
8406.8	0.920503111702445	1.21656287918029	1.2802755194218
8407	0.921394220229241	1.21429696311955	1.27758581752481
8407.2	0.922502431939385	1.20855176949463	1.27468157181571
8407.4	0.923589739629114	1.20278305134267	1.26862974254739
8407.6	0.923582572536405	1.19823844876372	1.26270889792225
8407.8	0.923596906721842	1.19372073135867	1.25934677055103
8408	0.925597421474206	1.19040864596953	1.25600722673894
8408.2	0.92759256090708	1.18714192931131	1.25331752484195
8408.4	0.927585393814371	1.18150091573529	1.25050361336976
8408.6	0.927578226721662	1.17573219758328	1.24108965673003
8408.8	0.927571059628953	1.172300809235	1.23169828364952
8409	0.927563892536244	1.16903409257671	1.22900858175252
8409.2	0.929537530691016	1.16649930950163	1.22631887985553
8409.4	0.931538045443425	1.16388020474488	1.22296465672996
8409.6	0.932447071701969	1.15936248733979	1.21960252935863
8409.8	0.933332207651503	1.15490257305854	1.21362296747976
8410	0.933351319898747	1.15138565625095	1.2075711382115
8410.2	0.933344152806038	1.14782572316517	1.20151930894313
8410.4	0.933336985713328	1.14330800576	1.19546747967482
8410.6	0.933329818620619	1.13882557514552	1.19258581752486
8410.8	0.934387263424046	1.13555885848734	1.18989611562788
8411	0.93549547513415	1.13230558441606	1.18017368810063
8411.2	0.937448209268489	1.13003966835538	1.17051490514905
8411.4	0.939448724020899	1.12777375229471	1.16782520325201
8411.6	0.939565189277433	1.12325905947169	1.16509146341455
8411.8	0.939558022184724	1.11874134206662	1.16172933604334
8412	0.939550855092014	1.1152082941546	1.15809620596209
8412.2	0.939543687999305	1.11169137734693	1.14935467479687
8412.4	0.940434362156885	1.10938681384883	1.14080284552856
8412.6	0.941485074236891	1.10712089778814	1.13744071815723
