monoE,roi5_mean,roi5_std,mcaLt_mean,mcaLt_std,roi5/mcaLt_mean,roi5/mcaLt_std
7.062,183.0,,1.9154509,,95.53886241615486,
7.064,156.0,,1.9098464,,81.68196143941209,
7.066,201.0,,1.908656,,105.30970483942629,
7.068,173.0,,1.9214576,,90.03581447750915,
7.07,158.0,,1.9111981,,82.67065564788915,
7.072,171.0,,1.9250973,,88.82667904630067,
7.074,162.0,,1.8983968,,85.33516280684839,
7.076,183.0,,1.9048947,,96.06830235813034,
7.078,169.0,,1.9183683,,88.09570091415709,
7.08,197.0,,1.9163264,,102.80085897684236,
7.082,182.0,,1.9283677,,94.38034042988794,
7.084,195.0,,1.9055846,,102.33080179174412,
7.086,175.0,,1.9120646,,91.52410436341953,
7.088,160.0,,1.9045939,,84.00740966355085,
7.09,175.0,,1.9142022,,91.42189889866388,
7.092,180.0,9.899494936611665,1.9078219,0.012117688909193835,94.36681184607531,5.788277514748541
7.093,159.0,,1.9138416,,83.07897581492638,
7.094,157.0,,1.9123504,,82.09792515011893,
7.095,191.0,,1.9152448,,99.72615511082448,
7.096,155.0,,1.9132051,,81.01588271952652,
7.097,171.0,,1.9003309,,89.98432851878586,
7.098,192.0,,1.9023862,,100.92587929832544,
7.099,174.0,,1.9164083,,90.79484784114116,
7.1,188.0,,1.9089331,,98.48433137861143,
7.101,190.0,,1.9153597,,99.19807752037384,
7.102,188.0,,1.9108784,,98.38407300014485,
7.103,182.0,,1.9208909,,94.74770274563745,
7.104,174.0,,1.9069309,,91.24609601742779,
7.105,182.0,,1.9124339,,95.16668785258409,
7.106,180.0,,1.914615,,94.01367899029309,
7.107,187.0,,1.9109114,,97.85906348143614,
7.108,190.0,,1.9087514,,99.54151179666455,
7.109,189.0,,1.9133539,,98.77942601209323,
7.11,176.0,,1.9171363,,91.80359268143846,
7.111,191.0,,1.9192051,,99.52036913615954,
7.112,213.0,,1.9064947,,111.723363301246,
7.113,219.0,,1.912895,,114.48615841434057,
7.114,203.0,,1.9193568,,105.76459780693199,
7.115,256.0,,1.9103894,,134.00409361567856,
7.116,313.0,,1.9001421,,164.7245224449266,
7.117,326.0,,1.9064576,,170.99777094439446,
7.118,285.0,,1.9228275,,148.21922403335714,
7.119,300.0,,1.916775,,156.51289274954024,
7.12,318.0,,1.9029184,,167.1117374239484,
7.121,338.0,,1.9025107,,177.65997321329124,
7.122,443.0,,1.9080218,,232.17764073764775,
7.123,510.0,,1.898943,,268.57046262052097,
7.124,661.0,,1.9065178,,346.7053913684939,
7.125,886.0,,1.8933744,,467.9475966295943,
7.126,1114.0,,1.9004576,,586.1746139456097,
7.127,1293.0,,1.8944589,,682.5167861915611,
7.128,1542.0,,1.8952557,,813.6105328689949,
7.129,1816.0,,1.8861104,,962.8280507864228,
7.13,1978.0,,1.8803616,,1051.9253318085202,
7.131,2204.0,,1.8857546,,1168.762892053929,
7.132,2403.0,,1.8837574,,1275.6419696081884,
7.133,2521.0,,1.8775043,,1342.7399340709899,
7.134,2727.0,,1.8807613,,1449.944764388761,
7.135,2705.0,,1.880695,,1438.2980759772317,
7.136,2611.0,,1.8713773,,1395.2290647107882,
7.137,2510.0,,1.8770394,,1337.2122076926037,
7.138,2415.0,,1.8859152,,1280.5453818920384,
7.139,2379.0,,1.8850848,,1262.0121917061767,
7.14,2390.0,,1.878536,,1272.2673400988856,
7.141,2306.0,,1.8858093,,1222.8171745679692,
7.142,2247.0,,1.8832006,,1193.181438026305,
7.143,2297.0,,1.8802173,,1221.6673040929898,
7.144,2241.0,,1.8814122,,1191.1265378208986,
7.145,2148.0,,1.877833,,1143.8716861403543,
7.146,2057.0,,1.8911651,,1087.6892768378605,
7.147,2137.0,,1.8780746,,1137.8674734219824,
7.148,2049.0,,1.8785424,,1090.7392880778204,
7.149,2067.0,,1.8878893,,1094.873518272496,
7.15,2114.0,,1.8842134,,1121.9535961266383,
7.151,2107.0,,1.8892992,,1115.2283344003956,
7.152,1987.0,,1.8917926,,1050.3265527098479,
7.153,1954.0,,1.8932701,,1032.0767227032213,
7.154,1911.0,,1.8913277,,1010.4013175506286,
