monoE,ionch1_mean,ionch1_std,mcaRt_mean,mcaRt_std,ionch1/mcaRt_mean,ionch1/mcaRt_std
7.092,50156567.0,,1.0056637,,49874095.087652065,
7.093,49370765.0,,1.011904,,48789969.20656505,
7.094,48808746.0,,1.0120154,,48229252.24260422,
7.095,48519259.0,,1.0119658,,47945552.11253186,
7.096,47400056.0,,1.0119277,,46841346.47168963,
7.097,47153238.0,,1.0122224,,46583871.29152645,
7.098,46329782.0,,1.012057,,45777838.5999998,
7.099,46310753.0,,1.0119434,,45764173.174112305,
7.1,44551883.0,,1.0119722,,44024809.1795407,
7.101,44916543.0,,1.0122589,,44372583.9308501,
7.102,44303036.0,,1.0119882,,43778214.014748394,
7.103,43771265.0,,1.0120256,,43251144.04220604,
7.104,42565029.0,,1.0122448,,42050133.525012925,
7.105,41787404.0,,1.0122672,,41281001.69599489,
7.106,41516470.0,,1.0122112,,41015620.06031942,
7.107,41013493.0,,1.012016,,40526526.26045438,
7.108,40676149.0,,1.0120378,,40192321.867819555,
7.109,39182423.0,,1.0118618,,38723097.36369137,
7.11,38189599.0,,1.0118755,,37741400.99251341,
7.111,36256537.0,,1.0118835,,35830742.37301034,
7.112,33379061.0,,1.0119248,,32985712.96997563,
7.113,28591312.0,,1.0053328,,28439649.039601617,
7.114,21094843.0,,1.0122339,,20839889.87130346,
7.115,14812468.0,,1.0120198,,14636539.719875045,
7.116,11637239.0,,1.0120883,,11498244.76777372,
7.117,10077196.0,,1.0120806,,9956910.546452526,
7.118,8973539.8,,1.0119485,,8867585.45518868,
7.119,8347863.2,,1.0119366,,8249393.48967119,
7.12,7409747.0,,1.0122128,,7320345.089491064,
7.121,5850663.2,,1.0119459,,5781596.822517884,
7.122,4435760.2,,1.011936,,4383439.466527528,
7.123,3381808.0,,1.0119824,,3341765.6275445106,
7.124,2536597.4,,1.0119306,,2506691.0715023344,
7.125,2103291.6,,1.0119328,,2078489.4016677786,
7.126,1794901.6,,1.0119232,,1773752.7907256202,
7.127,1568491.1,,1.0120112,,1549875.2385349094,
7.128,1424083.4,,1.0119648,,1407245.9832594965,
7.129,1271834.1,,1.0118208,,1256975.642327179,
7.13,1174262.9,,1.0119382,,1160409.6969558022,
7.131,994603.7,,1.0118813,,982925.2699896717,
7.132,949751.9,,1.0118541,,938625.3413412072,
