monoE,roi4_mean,roi4_std,mcaLt_mean,mcaLt_std,roi4/mcaLt_mean,roi4/mcaLt_std
8.233,159.0,,0.94070112,,169.02286668904998,
8.241,128.0,,0.94484576,,135.47184674882809,
8.249,122.0,,0.94054688,,129.71176939101642,
8.257,145.0,,0.94263584,,153.8239836074979,
8.265,130.0,,0.94476,,137.60108387315296,
8.273,152.0,,0.93942016,,161.80193535552826,
8.281,125.0,,0.93349184,,133.9058303926899,
8.289,127.0,,0.93505184,,135.82134654694653,
8.297,122.0,,0.94407456,,129.2270813864532,
8.305,126.0,,0.9357392,,134.6529032875827,
8.313,196.5,106.77312395916867,1.4045691,0.6654580503533036,137.30255923706474,10.967086333276598
8.3135,227.0,,1.8700902,,121.38451931356039,
8.314,255.0,,1.8660192,,136.65454246129943,
8.3145,268.0,,1.8656822,,143.6471870718389,
8.315,244.0,,1.8605597,,131.14333283688774,
8.3155,261.0,,1.8649792,,139.9479415105541,
8.316,266.0,,1.8633277,,142.7553510850507,
8.3165,229.0,,1.8648861,,122.7957031799422,
8.317,238.0,,1.8606637,,127.9113469027208,
8.3175,256.0,,1.8603821,,137.6061401579815,
8.318,307.0,,1.8548726,,165.5100193943239,
8.3185,248.0,,1.8709597,,132.5522938842563,
8.319,273.0,,1.8633382,,146.51124524791044,
8.3195,273.0,,1.862631,,146.56687234347544,
8.32,273.0,,1.8638154,,146.4737333965585,
8.3205,279.0,,1.8691859,,149.262842181722,
8.321,275.0,,1.8644224,,147.49876422853532,
8.3215,271.0,,1.8590707,,145.77175574871896,
8.322,273.0,,1.8572227,,146.99368040246333,
8.3225,281.0,,1.86688,,150.5185121700377,
8.323,263.0,,1.8691955,,140.70224329129832,
8.3235,301.0,,1.8605459,,161.78047528953735,
8.324,252.0,,1.8702774,,134.73937074789012,
8.3245,250.0,,1.8652579,,134.02972318197928,
8.325,259.0,,1.866328,,138.7751777822548,
8.3255,259.0,,1.8603008,,139.2247963340122,
8.326,292.0,,1.8737043,,155.84102571574394,
