# Scan number: 14
# Command: k-scan 3 12 7.112 180 1 10
# Date: Mon Jul 29 00:28:26 2024
# date: Mon Jul 29 00:28:26 2024
Energy	monobr	monoh	cr2latr	cr2vetr	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
7.14629	16.060534	25	-46.863	12.8296	86775591	1	0	0	0	296.60695	16.065549	1.092369e-09	3.160885e-10	-1790.667	7.7091023e+08	1.7410776e+08	1.0122566	6.6185587	0.94525984	2259	124	130	10	29	1093	0	0	0	16.997457	0	7.1441175	0	0	0	0	0	0	297.846	-5.22782e-13	296.615	1.09157e-09	3.11632e-10	0	23	3436470.3	3436470.3
7.14744	16.057889	25	-46.863	12.8294	86775595	1.0200544	0	0	0	296.58185	16.063049	1.095842e-09	3.135412e-10	-1790.667	7.7091023e+08	1.7272381e+08	1.0282285	5.9046487	0.9675152	2293	96	130	9	22	1080	1	0	0	16.997457	0	7.1452001	0	0	0	0	0	0	297.846	-5.22782e-13	296.587	1.09304e-09	3.1203e-10	0	50	3446958.3	3446958.3
7.1486	16.055199	25	-46.863	12.8293	86775598	1.0404384	0	0	0	296.55966	16.060549	1.088396e-09	3.119318e-10	-1790.667	7.7091023e+08	1.7185645e+08	1.0518515	6.8672506	0.97961824	2278	112	121	13	31	1100	0	0	0	16.997457	0	7.1462831	0	0	0	0	0	0	297.846	-5.22782e-13	296.56	1.0884e-09	3.10576e-10	0	19	3423098.8	3423098.8
7.14978	16.052469	25	-46.863	12.8291	86775601	1.061152	0	0	0	296.53841	16.058049	1.109062e-09	3.10969e-10	-1790.667	7.7091023e+08	1.7134552e+08	1.0678429	6.1660907	1.0019987	2485	113	115	12	26	1181	1	0	0	16.997457	0	7.1473663	0	0	0	0	0	0	297.846	-5.22782e-13	296.538	1.10906e-09	3.11481e-10	0	22	3487641	3487641
7.15099	16.049699	25	-46.863	12.8289	86775604	1.0821956	0	0	0	296.50748	16.055549	1.090885e-09	3.109975e-10	-1790.667	7.7091023e+08	1.7138125e+08	1.0922794	6.0446368	1.026255	2361	129	131	12	35	1087	0	0	0	16.997457	0	7.14845	0	0	0	0	0	0	297.846	-5.22782e-13	296.516	1.09089e-09	3.11285e-10	0	23	3430022.4	3430022.4
7.15221	16.046884	25	-46.863	12.8287	86775607	1.1035684	0	0	0	296.48414	16.053049	1.115623e-09	3.163656e-10	-1790.667	7.7091023e+08	1.7436001e+08	1.1080742	6.3114905	1.0381382	2469	127	117	10	40	1134	0	0	0	16.997457	0	7.1495339	0	0	0	0	0	0	297.846	-5.22782e-13	296.488	1.11462e-09	3.133e-10	0	37	3507333.1	3507333.1
7.15345	16.044024	25	-46.863	12.8285	86775611	1.1252712	0	0	0	296.75266	16.048049	1.098271e-09	3.150156e-10	-1790.667	7.7091023e+08	1.7363681e+08	1.131943	6.0750195	1.0631773	2467	129	133	9	28	1115	0	0	0	16.997457	0	7.1517029	0	0	0	0	0	0	297.846	-5.22782e-13	296.753	1.10141e-09	3.11831e-10	0	35	3452309.3	3452309.3
7.15471	16.041124	25	-46.863	12.8283	86775614	1.1473032	0	0	0	296.72953	16.045549	1.116355e-09	3.131682e-10	-1790.667	7.7091023e+08	1.7263957e+08	1.1562365	5.7614512	1.0896205	2517	137	141	10	33	1145	0	0	0	16.997457	0	7.1527879	0	0	0	0	0	0	297.846	-5.22782e-13	296.73	1.11635e-09	3.1363e-10	0	42	3508667.3	3508667.3
7.15599	16.038184	25	-46.863	12.8282	86775617	1.1696652	0	0	0	296.70774	16.043049	1.114256e-09	3.139213e-10	-1790.667	7.7091023e+08	1.7307619e+08	1.1802093	5.7304549	1.1125779	2459	116	149	15	22	1069	0	0	0	16.997457	0	7.1538732	0	0	0	0	0	0	297.846	-5.22782e-13	296.708	1.11426e-09	3.14298e-10	0	30	3501576.3	3501576.3
7.15728	16.035199	25	-46.863	12.828	86775621	1.1923568	0	0	0	296.67694	16.040549	1.130475e-09	3.163834e-10	-1790.667	7.7091023e+08	1.7445544e+08	1.2041059	6.1654377	1.1298675	2448	136	140	10	29	1066	0	0	0	16.997457	0	7.1549589	0	0	0	0	0	0	297.846	-5.22782e-13	296.681	1.12477e-09	3.12726e-10	0	38	3552040.1	3552040.1
