# Scan number: 2
# Command: ascan mz -0.6 1.4 20 1
# Date: Sun Jul 28 23:32:31 2024
# date: Sun Jul 28 23:32:31 2024
mz	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
0	0	0	0	86772250	1	0	0	0	296.54067	13.728342	2.145866e-07	4.373994e-10	-1790.667	7.7091023e+08	2.7906314e+08	1.0121536	3.9951881	0.97171616	276	1	0	181	32	5	0	0	0	16.997457	0	8.3307423	0	0	0	0	0	0	297.846	-5.22782e-13	296.544	2.14587e-07	4.38159e-10	0	27	6.0302418e+08	6.0302418e+08
0.1	0	0	0	86772252	1	0	0	0	296.524	13.728342	2.15019e-07	4.386038e-10	-1790.667	7.7091023e+08	2.7983155e+08	1.0120525	5.0344267	0.96110144	273	0	0	184	46	4	0	0	0	16.997457	0	8.3307423	0	0	0	0	0	0	297.846	-5.22782e-13	296.524	2.15019e-07	4.38586e-10	0	29	6.042393e+08	6.042393e+08
0.2	0	0	0	86772254	1	0	0	0	296.50003	13.728342	2.147823e-07	4.38515e-10	-1790.667	7.7091023e+08	2.7977489e+08	1.0119456	4.4090275	0.96732864	247	1	1	164	29	3	0	0	0	16.997457	0	8.3307423	0	0	0	0	0	0	297.846	-5.22782e-13	296.509	2.14618e-07	4.38005e-10	0	25	6.0357413e+08	6.0357413e+08
0.3	0	0	0	86772257	1	0	0	0	296.48507	13.728342	2.154258e-07	4.378471e-10	-1790.667	7.7091023e+08	2.7934877e+08	1.0118797	4.5207272	0.96613536	286	1	0	179	44	5	0	0	0	16.997457	0	8.3307423	0	0	0	0	0	0	297.846	-5.22782e-13	296.489	2.15047e-07	4.3894e-10	0	28	6.0538247e+08	6.0538247e+08
0.4	0	0	0	86772259	1	0	0	0	296.46853	13.728342	2.150768e-07	4.398757e-10	-1790.667	7.7091023e+08	2.8064303e+08	1.0120794	4.9236297	0.96224832	280	4	1	188	38	2	0	0	0	16.997457	0	8.3307423	0	0	0	0	0	0	297.846	-5.22782e-13	296.469	2.15077e-07	4.39286e-10	0	40	6.0440173e+08	6.0440173e+08
0.5	0	0	0	86772261	1	0	0	0	296.73052	13.728342	2.156344e-07	4.402807e-10	-1790.667	7.7091023e+08	2.8090142e+08	1.012055	4.6809154	0.9646816	253	1	0	168	48	4	0	0	0	16.997457	0	8.3307423	0	0	0	0	0	0	297.846	-5.22782e-13	296.739	2.1571e-07	4.40032e-10	0	41	6.0596867e+08	6.0596867e+08
0.6	0	0	0	86772263	1	0	0	0	296.71491	13.728342	2.157911e-07	4.397585e-10	-1790.667	7.7091023e+08	2.8056825e+08	1.0118032	5.1099898	0.96010016	269	0	2	190	29	3	0	0	0	16.997457	0	8.3307423	0	0	0	0	0	0	297.846	-5.22782e-13	296.722	2.156e-07	4.40185e-10	0	29	6.0640903e+08	6.0640903e+08
0.7	0	0	0	86772266	1	0	0	0	296.70089	13.728342	2.15977e-07	4.415952e-10	-1790.667	7.7091023e+08	2.8174008e+08	1.0118765	4.2739762	0.96862912	256	0	0	162	38	1	0	0	0	16.997457	0	8.3307423	0	0	0	0	0	0	297.846	-5.22782e-13	296.701	2.15977e-07	4.40267e-10	0	25	6.0693144e+08	6.0693144e+08
0.8	0	0	0	86772268	1	0	0	0	296.68518	13.728342	2.159978e-07	4.422809e-10	-1790.667	7.7091023e+08	2.8217756e+08	1.005617	6.2934499	0.94232896	260	0	1	175	37	2	0	0	0	16.997457	0	8.3307423	0	0	0	0	0	0	297.846	-5.22782e-13	296.685	2.15998e-07	4.40865e-10	0	32	6.0698989e+08	6.0698989e+08
0.9	0	0	0	86772270	1	0	0	0	296.66097	13.728342	2.160676e-07	4.411724e-10	-1790.667	7.7091023e+08	2.8147033e+08	1.011951	3.7001316	0.97450752	273	0	0	178	39	1	0	0	0	16.997457	0	8.3307423	0	0	0	0	0	0	297.846	-5.22782e-13	296.669	2.16462e-07	4.41279e-10	0	32	6.0718604e+08	6.0718604e+08
