# Scan number: 27
# Command: ascan monoE 5.673 5.703 15 2
# Date: Mon Jul 29 01:54:29 2024
# date: Mon Jul 29 01:54:29 2024
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
5.673	20.395599	-35.868	13.1998	0	0	0	86780760	2	0	0	0	297.5194	20.399865	2.906771e-10	2.407781e-10	-1790.667	7.7091023e+08	1.2276887e+08	2.0117891	2.6884408	1.9577034	416	4	292	14	41	8	0	0	0	16.997457	0	5.6718646	0	0	0	0	0	0	297.846	-5.22782e-13	297.523	2.88689e-10	2.40771e-10	0	54	1100899.5	1100899.5
5.675	20.388094	-35.8806	13.1991	0	0	0	86780765	2	0	0	0	297.47963	20.394865	3.007076e-10	2.413465e-10	-1790.667	7.7091023e+08	1.230599e+08	2.0117946	4.1389674	1.928527	405	4	278	4	51	11	0	0	0	16.997457	0	5.6731958	0	0	0	0	0	0	297.846	-5.22782e-13	297.484	3.01668e-10	2.41415e-10	0	61	1138571.1	1138571.1
5.677	20.380589	-35.8933	13.1984	0	0	0	86780770	2	0	0	0	297.43908	20.387365	3.046123e-10	2.409628e-10	-1790.667	7.7091023e+08	1.2286551e+08	2.0118547	3.9557528	1.9322707	424	2	294	8	42	6	0	0	0	16.997457	0	5.675194	0	0	0	0	0	0	297.846	-5.22782e-13	297.445	3.04214e-10	2.40224e-10	0	74	1153033.9	1153033.9
5.679	20.373094	-35.9059	13.1977	0	0	0	86780774	2	0	0	0	297.39591	20.379865	3.086186e-10	2.353815e-10	-1790.667	7.7091023e+08	1.2002088e+08	2.0117885	2.327354	1.964967	397	2	280	4	38	15	0	0	0	16.997457	0	5.6771936	0	0	0	0	0	0	297.846	-5.22782e-13	297.409	3.0294e-10	2.36895e-10	0	63	1167873.2	1167873.2
5.681	20.365604	-35.9186	13.197	0	0	0	86780779	2	0	0	0	297.36417	20.372365	3.090072e-10	2.336087e-10	-1790.667	7.7091023e+08	1.1911821e+08	2.0122813	3.857083	1.9346659	411	3	285	10	32	17	0	0	0	16.997457	0	5.6791948	0	0	0	0	0	0	297.846	-5.22782e-13	297.368	3.03084e-10	2.34952e-10	0	44	1169017.9	1169017.9
5.683	20.358119	-35.9312	13.1963	0	0	0	86780784	2	0	0	0	297.32074	20.364865	3.06013e-10	2.336975e-10	-1790.667	7.7091023e+08	1.1916479e+08	2.0121658	4.6694364	1.918209	395	2	277	10	32	10	0	0	0	16.997457	0	5.6811974	0	0	0	0	0	0	297.846	-5.22782e-13	297.325	3.08114e-10	2.31974e-10	0	57	1157367.9	1157367.9
5.685	20.350639	-35.9439	13.1956	0	0	0	86780789	2	0	0	0	297.27899	20.357365	3.124999e-10	2.325606e-10	-1790.667	7.7091023e+08	1.1858641e+08	2.0118976	2.819563	1.9551709	394	4	273	12	32	14	0	0	0	16.997457	0	5.6832016	0	0	0	0	0	0	297.846	-5.22782e-13	297.284	3.1229e-10	2.31044e-10	0	55	1181572.7	1181572.7
5.687	20.343164	-35.9565	13.1949	0	0	0	86780793	2	0	0	0	297.23902	20.349865	3.077829e-10	2.309086e-10	-1790.667	7.7091023e+08	1.1774538e+08	2.0122726	3.3949435	1.9439571	415	1	302	15	36	12	0	0	0	16.997457	0	5.6852073	0	0	0	0	0	0	297.846	-5.22782e-13	297.251	3.09959e-10	2.33122e-10	0	63	1163413.5	1163413.5
5.689	20.335699	-35.9692	13.1942	0	0	0	86780798	2	0	0	0	297.20649	20.342365	3.206193e-10	2.289724e-10	-1790.667	7.7091023e+08	1.1675944e+08	2.0121242	4.771793	1.9161098	410	5	280	9	46	10	0	0	0	16.997457	0	5.6872145	0	0	0	0	0	0	297.846	-5.22782e-13	297.211	3.16391e-10	2.29027e-10	0	68	1211597.5	1211597.5
5.691	20.328234	-35.9818	13.1935	0	0	0	86780803	2	0	0	0	297.16549	20.334865	3.099681e-10	2.301874e-10	-1790.667	7.7091023e+08	1.1738041e+08	2.0120442	2.3291576	1.9651805	443	3	302	11	48	14	0	0	0	16.997457	0	5.6892232	0	0	0	0	0	0	297.846	-5.22782e-13	297.17	3.13709e-10	2.2881e-10	0	62	1171021.3	1171021.3
