# Scan number: 30
# Command: ascan monoE 7.092 7.132 40 1
# Date: Mon Jul 29 02:18:54 2024
# date: Mon Jul 29 02:18:54 2024
# C Mon Jul 29 02: 21:31 2024.  do ./2023-07_EXAFS.mac.
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
7.092	16.186844	-44.8397	12.8456	0	0	0	86782222	1	0	0	0	297.84885	16.190451	1.106178e-09	9.152856e-11	-1790.667	7.7091023e+08	50156567	1.0056637	3.7446793	0.9680048	375	28	33	7	18	31	0	0	0	16.997457	0	7.0904616	0	0	0	0	0	0	297.846	-5.22782e-13	297.854	1.10618e-09	9.10916e-11	0	36	3500955.2	3500955.2
7.093	16.184499	-44.8461	12.8454	0	0	0	86782225	1	0	0	0	297.82758	16.187951	1.111282e-09	9.008616e-11	-1790.667	7.7091023e+08	49370765	1.011904	5.3545317	0.95772128	421	46	35	9	30	31	2	0	0	16.997457	0	7.0915273	0	0	0	0	0	0	297.846	-5.22782e-13	297.828	1.11128e-09	9.00702e-11	0	22	3516716.1	3516716.1
7.094	16.182154	-44.8524	12.8452	0	0	0	86782228	1	0	0	0	297.80485	16.185451	1.097162e-09	8.905232e-11	-1790.667	7.7091023e+08	48808746	1.0120154	5.0532672	0.96087552	386	30	32	4	29	37	0	0	0	16.997457	0	7.0925934	0	0	0	0	0	0	297.846	-5.22782e-13	297.805	1.09727e-09	8.87859e-11	0	24	3471644.9	3471644.9
7.095	16.179809	-44.8587	12.8451	0	0	0	86782231	1	0	0	0	297.77888	16.185451	1.090587e-09	8.851586e-11	-1790.667	7.7091023e+08	48519259	1.0119658	2.1895444	0.98980832	401	36	39	12	31	39	1	0	0	16.997457	0	7.0925934	0	0	0	0	0	0	297.846	-5.22782e-13	297.779	1.08646e-09	8.81286e-11	0	30	3450455.1	3450455.1
7.096	16.177469	-44.865	12.8449	0	0	0	86782234	1	0	0	0	297.75487	16.182951	1.078299e-09	8.646595e-11	-1790.667	7.7091023e+08	47400056	1.0119277	4.2604784	0.96881472	347	27	43	5	28	24	1	0	0	16.997457	0	7.0936598	0	0	0	0	0	0	297.846	-5.22782e-13	297.755	1.07795e-09	8.75158e-11	0	25	3411196.9	3411196.9
7.097	16.175124	-44.8714	12.8447	0	0	0	86782237	1	0	0	0	297.7255	16.180451	1.059583e-09	8.600765e-11	-1790.667	7.7091023e+08	47153238	1.0122224	5.4562871	0.95699264	374	31	32	9	35	36	0	0	0	16.997457	0	7.0947265	0	0	0	0	0	0	297.846	-5.22782e-13	297.733	1.06684e-09	8.64446e-11	0	34	3351614.9	3351614.9
7.098	16.172784	-44.8777	12.8445	0	0	0	86782240	1	0	0	0	297.70124	16.177951	1.08019e-09	8.449774e-11	-1790.667	7.7091023e+08	46329782	1.012057	3.9449479	0.97213184	358	23	36	5	28	30	1	0	0	16.997457	0	7.0957936	0	0	0	0	0	0	297.846	-5.22782e-13	297.708	1.08019e-09	8.56346e-11	0	43	3416416.7	3416416.7
7.099	16.170444	-44.884	12.8443	0	0	0	86782243	1	0	0	0	297.67595	16.175451	1.085881e-09	8.445511e-11	-1790.667	7.7091023e+08	46310753	1.0119434	4.8517498	0.9628464	363	33	25	3	38	27	0	0	0	16.997457	0	7.096861	0	0	0	0	0	0	297.846	-5.22782e-13	297.68	1.08588e-09	8.47393e-11	0	39	3434033.1	3434033.1
7.1	16.168104	-44.8903	12.8442	0	0	0	86782246	1	0	0	0	297.65292	16.172951	1.086957e-09	8.12399e-11	-1790.667	7.7091023e+08	44551883	1.0119722	5.3861719	0.9574656	340	35	48	4	31	26	1	0	0	16.997457	0	7.0979287	0	0	0	0	0	0	297.846	-5.22782e-13	297.661	1.08696e-09	8.13145e-11	0	24	3437052.6	3437052.6
7.101	16.165764	-44.8966	12.844	0	0	0	86782250	1	0	0	0	297.62967	16.170451	1.119837e-09	8.189716e-11	-1790.667	7.7091023e+08	44916543	1.0122589	4.3831317	0.96789024	339	29	34	6	19	39	0	0	0	16.997457	0	7.0989967	0	0	0	0	0	0	297.846	-5.22782e-13	297.638	1.11984e-09	8.14477e-11	0	35	3540627.2	3540627.2
