# Scan number: 41
# Command: ascan monoE 8.323 8.358 70 1
# Date: Mon Jul 29 02:54:35 2024
# date: Mon Jul 29 02:54:35 2024
# C Mon Jul 29 02: 55:38 2024.  Scan aborted after 26 points.
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
8.323	13.741364	-52.6228	12.6684	0	0	0	86784363	1	0	0	0	296.82587	13.745842	2.850587e-11	3.132534e-10	-1790.667	7.7091023e+08	1.9956388e+08	1.0118077	7.7112204	0.93378496	3095	152	185	637	153	1165	0	0	0	16.997457	0	8.3203402	0	0	0	0	0	0	297.846	-5.22782e-13	296.826	2.85059e-11	3.11172e-10	0	28	80169.47	80169.47
8.3235	13.740519	-52.626	12.6683	0	0	0	86784365	1	0	0	0	296.81028	13.745842	2.941128e-11	3.178897e-10	-1790.667	7.7091023e+08	2.0253239e+08	1.0117978	8.0316446	0.93053376	3117	153	185	653	158	1188	0	0	0	16.997457	0	8.3203402	0	0	0	0	0	0	297.846	-5.22782e-13	296.81	2.93425e-11	3.18291e-10	0	44	82712.563	82712.563
8.324	13.739679	-52.6292	12.6682	0	0	0	86784367	1	0	0	0	296.79432	13.743342	2.892976e-11	3.153353e-10	-1790.667	7.7091023e+08	2.0091969e+08	1.0121619	8.0616034	0.93056544	3254	159	185	682	153	1249	0	0	0	16.997457	0	8.3218245	0	0	0	0	0	0	297.846	-5.22782e-13	296.794	2.95643e-11	3.15055e-10	0	50	81355.184	81355.184
8.3245	13.738839	-52.6323	12.6682	0	0	0	86784369	1	0	0	0	296.77082	13.743342	2.948694e-11	3.161453e-10	-1790.667	7.7091023e+08	2.0145057e+08	1.0121066	8.2652483	0.92845344	3156	138	175	648	185	1256	0	0	0	16.997457	0	8.3218245	0	0	0	0	0	0	297.846	-5.22782e-13	296.779	2.94869e-11	3.16583e-10	0	44	82918.789	82918.789
8.325	13.737994	-52.6355	12.6681	0	0	0	86784372	1	0	0	0	296.75551	13.743342	2.955901e-11	3.180105e-10	-1790.667	7.7091023e+08	2.0265397e+08	1.0120189	7.8950306	0.93211968	3128	119	182	673	172	1204	0	0	0	16.997457	0	8.3218245	0	0	0	0	0	0	297.846	-5.22782e-13	296.76	2.9559e-11	3.18359e-10	0	25	83118.171	83118.171
8.3255	13.737154	-52.6386	12.6681	0	0	0	86784374	1	0	0	0	296.74137	13.740842	2.967977e-11	3.190443e-10	-1790.667	7.7091023e+08	2.033277e+08	1.0122006	8.4344701	0.92682688	3131	170	168	661	165	1162	0	0	0	16.997457	0	8.3233095	0	0	0	0	0	0	297.846	-5.22782e-13	296.741	2.96798e-11	3.17858e-10	0	17	83454.446	83454.446
8.326	13.736314	-52.6418	12.668	0	0	0	86784376	1	0	0	0	296.72621	13.740842	2.959266e-11	3.190763e-10	-1790.667	7.7091023e+08	2.0336302e+08	1.0122422	8.4122789	0.9270896	3212	157	184	646	162	1196	0	0	0	16.997457	0	8.3233095	0	0	0	0	0	0	297.846	-5.22782e-13	296.726	2.94027e-11	3.18688e-10	0	24	83206.223	83206.223
8.3265	13.735474	-52.645	12.6679	0	0	0	86784378	1	0	0	0	296.70295	13.740842	2.957613e-11	3.189271e-10	-1790.667	7.7091023e+08	2.0328286e+08	1.0121075	7.8742306	0.93241184	3183	170	179	641	153	1194	0	0	0	16.997457	0	8.3233095	0	0	0	0	0	0	297.846	-5.22782e-13	296.713	2.97072e-11	3.19609e-10	0	29	83156.464	83156.464
8.327	13.734629	-52.6481	12.6679	0	0	0	86784380	1	0	0	0	296.68886	13.738342	2.950814e-11	3.207283e-10	-1790.667	7.7091023e+08	2.0444595e+08	1.0121542	8.6799419	0.92429984	3241	172	188	643	168	1245	0	0	0	16.997457	0	8.3247949	0	0	0	0	0	0	297.846	-5.22782e-13	296.697	2.95081e-11	3.21026e-10	0	48	82962.029	82962.029
8.3275	13.733789	-52.6513	12.6678	0	0	0	86784383	1	0	0	0	296.67334	13.738342	2.966055e-11	3.220926e-10	-1790.667	7.7091023e+08	2.053307e+08	1.0121834	8.5476054	0.92566592	3296	179	183	664	166	1252	0	0	0	16.997457	0	8.3247949	0	0	0	0	0	0	297.846	-5.22782e-13	296.673	2.96605e-11	3.23112e-10	0	47	83387.239	83387.239
8.328	13.732949	-52.6544	12.6678	0	0	0	86784385	1	0	0	0	296.658	13.738342	2.999375e-11	3.249383e-10	-1790.667	7.7091023e+08	2.0716002e+08	1.0121382	8.5409677	0.92569184	3178	161	159	625	170	1226	0	0	0	16.997457	0	8.3247949	0	0	0	0	0	0	297.846	-5.22782e-13	296.658	3.00207e-11	3.24667e-10	0	32	84320.667	84320.667
8.3285	13.732109	-52.6576	12.6677	0	0	0	86784387	1	0	0	0	296.63974	13.738342	2.997842e-11	3.239649e-10	-1790.667	7.7091023e+08	2.0655462e+08	1.0121251	8.1550708	0.9295856	3367	155	230	689	189	1241	0	0	0	16.997457	0	8.3247949	0	0	0	0	0	0	297.846	-5.22782e-13	296.64	3.02933e-11	3.24299e-10	0	46	84274.246	84274.246
8.329	13.731269	-52.6608	12.6677	0	0	0	86784389	1	0	0	0	296.61983	13.735842	3.021484e-11	3.256204e-10	-1790.667	7.7091023e+08	2.0762539e+08	1.0120838	8.414544	0.9269216	3308	146	178	666	180	1240	0	0	0	16.997457	0	8.3262809	0	0	0	0	0	0	297.846	-5.22782e-13	296.626	3.09508e-11	3.27157e-10	0	29	84935.512	84935.512
8.3295	13.730429	-52.6639	12.6676	0	0	0	86784391	1	0	0	0	296.60385	13.735842	3.060091e-11	3.283986e-10	-1790.667	7.7091023e+08	2.0941225e+08	1.0118397	7.8676812	0.93223136	3270	161	173	632	176	1227	0	0	0	16.997457	0	8.3262809	0	0	0	0	0	0	297.846	-5.22782e-13	296.611	3.0457e-11	3.27586e-10	0	37	86017.384	86017.384
8.33	13.729589	-52.6671	12.6675	0	0	0	86784394	1	0	0	0	296.59039	13.735842	3.034267e-11	3.302461e-10	-1790.667	7.7091023e+08	2.1060583e+08	1.0119322	8.0341512	0.930632	3400	165	170	690	209	1251	0	0	0	16.997457	0	8.3262809	0	0	0	0	0	0	297.846	-5.22782e-13	296.594	3.03427e-11	3.30617e-10	0	32	85288.125	85288.125
8.3305	13.728749	-52.6703	12.6675	0	0	0	86784396	1	0	0	0	296.57332	13.733342	3.08024e-11	3.33916e-10	-1790.667	7.7091023e+08	2.1296187e+08	1.0119536	9.0951522	0.91991488	3337	156	164	662	208	1260	0	0	0	16.997457	0	8.3277675	0	0	0	0	0	0	297.846	-5.22782e-13	296.573	3.08024e-11	3.34373e-10	0	19	86576.936	86576.936
8.331	13.727909	-52.6734	12.6674	0	0	0	86784398	1	0	0	0	296.55906	13.733342	3.102968e-11	3.364207e-10	-1790.667	7.7091023e+08	2.1457507e+08	1.0119466	8.8137144	0.92275648	3383	172	197	681	181	1308	0	0	0	16.997457	0	8.3277675	0	0	0	0	0	0	297.846	-5.22782e-13	296.559	3.10297e-11	3.35497e-10	0	24	87212.32	87212.32
8.3315	13.727069	-52.6766	12.6674	0	0	0	86784400	1	0	0	0	296.54334	13.733342	3.133878e-11	3.369927e-10	-1790.667	7.7091023e+08	2.149557e+08	1.0055206	9.0828489	0.91419072	3518	157	209	682	246	1358	0	0	0	16.997457	0	8.3277675	0	0	0	0	0	0	297.846	-5.22782e-13	296.543	3.08446e-11	3.38181e-10	0	31	88077.61	88077.61
8.332	13.726229	-52.6797	12.6673	0	0	0	86784402	1	0	0	0	296.52079	13.730842	3.085984e-11	3.398881e-10	-1790.667	7.7091023e+08	2.1681852e+08	1.0121264	8.4846003	0.92625152	3465	171	177	687	217	1315	0	0	0	16.997457	0	8.3292546	0	0	0	0	0	0	297.846	-5.22782e-13	296.528	3.07409e-11	3.40262e-10	0	33	86728.134	86728.134
8.3325	13.725389	-52.6829	12.6672	0	0	0	86784405	1	0	0	0	296.50459	13.730842	3.122091e-11	3.407585e-10	-1790.667	7.7091023e+08	2.1738974e+08	1.0122707	9.3978338	0.9171392	3442	148	184	657	263	1288	0	0	0	16.997457	0	8.3292546	0	0	0	0	0	0	297.846	-5.22782e-13	296.509	3.12209e-11	3.41103e-10	0	39	87739.425	87739.425
8.333	13.724549	-52.6861	12.6672	0	0	0	86784407	1	0	0	0	296.48876	13.730842	3.090573e-11	3.434231e-10	-1790.667	7.7091023e+08	2.1910576e+08	1.0122867	7.9696946	0.93161056	3573	169	184	672	291	1298	0	0	0	16.997457	0	8.3292546	0	0	0	0	0	0	297.846	-5.22782e-13	296.489	3.09057e-11	3.44878e-10	0	31	86850.263	86850.263
8.3335	13.723709	-52.6892	12.6671	0	0	0	86784409	1	0	0	0	296.47418	13.728342	3.103126e-11	3.460094e-10	-1790.667	7.7091023e+08	2.2077207e+08	1.012263	9.2050066	0.91908416	3619	147	200	706	301	1297	0	0	0	16.997457	0	8.3307423	0	0	0	0	0	0	297.846	-5.22782e-13	296.474	3.04205e-11	3.46908e-10	0	45	87199.59	87199.59
8.334	13.722869	-52.6924	12.6671	0	0	0	86784411	1	0	0	0	296.72101	13.728342	3.078527e-11	3.48777e-10	-1790.667	7.7091023e+08	2.2255431e+08	1.0122102	8.9496348	0.92162112	3691	175	179	699	322	1325	0	0	0	16.997457	0	8.3307423	0	0	0	0	0	0	297.846	-5.22782e-13	296.729	3.0771e-11	3.49368e-10	0	53	86504.94	86504.94
8.3345	13.722029	-52.6955	12.667	0	0	0	86784414	1	0	0	0	296.70447	13.728342	3.038209e-11	3.511396e-10	-1790.667	7.7091023e+08	2.2407837e+08	1.0121952	9.7146163	0.91386432	3751	173	171	721	339	1353	0	0	0	16.997457	0	8.3307423	0	0	0	0	0	0	297.846	-5.22782e-13	296.709	3.03821e-11	3.5066e-10	0	32	85368.666	85368.666
8.335	13.721189	-52.6987	12.667	0	0	0	86784416	1	0	0	0	296.69062	13.725842	3.02914e-11	3.521698e-10	-1790.667	7.7091023e+08	2.2475232e+08	1.0120928	9.387408	0.91708352	3868	177	193	724	354	1411	0	0	0	16.997457	0	8.3322305	0	0	0	0	0	0	297.846	-5.22782e-13	296.691	3.02914e-11	3.5328e-10	0	49	85110.494	85110.494
8.3355	13.720354	-52.7019	12.6669	0	0	0	86784418	1	0	0	0	296.67406	13.725842	3.07798e-11	3.541949e-10	-1790.667	7.7091023e+08	2.2606136e+08	1.0121846	9.5041	0.9159856	3826	160	191	727	393	1364	0	0	0	16.997457	0	8.3322305	0	0	0	0	0	0	297.846	-5.22782e-13	296.674	3.0218e-11	3.55474e-10	0	30	86479.361	86479.361
