# Scan number: 6
# Command: ascan monoE 8.233 8.313 10 1
# Date: Sun Jul 28 23:40:59 2024
# date: Sun Jul 28 23:40:59 2024
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
8.233	13.894574	-54.5828	12.6694	0	0	0	86772742	1	0	0	0	296.67369	13.898342	1.763659e-11	2.731468e-10	-1790.667	7.7091023e+08	1.7175256e+08	1.0121008	7.0546017	0.94070112	2582	124	153	769	159	954	0	0	0	16.997457	0	8.2308133	0	0	0	0	0	0	297.846	-5.22782e-13	296.681	1.74174e-11	2.73746e-10	0	30	49960.788	49960.788
8.241	13.880819	-54.5828	12.6686	0	0	0	86772746	1	0	0	0	296.64148	13.885842	1.90549e-11	2.722231e-10	-1790.667	7.7091023e+08	1.7136895e+08	1.0118448	6.621474	0.94484576	2461	114	156	676	128	969	0	0	0	16.997457	0	8.2380768	0	0	0	0	0	0	297.846	-5.22782e-13	296.65	1.96712e-11	2.72273e-10	0	43	53943.374	53943.374
8.249	13.867084	-54.5828	12.6678	0	0	0	86772751	1	0	0	0	296.61073	13.870842	1.996201e-11	2.705889e-10	-1790.667	7.7091023e+08	1.705368e+08	1.0054234	6.4526529	0.94054688	2511	135	135	695	122	962	0	0	0	16.997457	0	8.2468105	0	0	0	0	0	0	297.846	-5.22782e-13	296.615	1.99755e-11	2.69614e-10	0	23	56474.616	56474.616
8.257	13.853384	-54.5828	12.6671	0	0	0	86772755	1	0	0	0	296.58163	13.858342	1.990368e-11	2.694414e-10	-1790.667	7.7091023e+08	1.7000997e+08	1.0121709	6.8698914	0.94263584	2524	139	124	716	145	958	0	0	0	16.997457	0	8.2541032	0	0	0	0	0	0	297.846	-5.22782e-13	296.582	1.99037e-11	2.69875e-10	0	34	56273.091	56273.091
8.265	13.839704	-54.5828	12.6663	0	0	0	86772759	1	0	0	0	296.55219	13.843342	2.063747e-11	2.732286e-10	-1790.667	7.7091023e+08	1.7259932e+08	1.0120246	6.6465417	0.94476	2554	106	151	686	130	997	0	0	0	16.997457	0	8.262872	0	0	0	0	0	0	297.846	-5.22782e-13	296.552	2.06375e-11	2.7446e-10	0	42	58309.999	58309.999
8.273	13.826054	-54.5828	12.6656	0	0	0	86772763	1	0	0	0	296.51317	13.830842	2.196349e-11	2.835208e-10	-1790.667	7.7091023e+08	1.7930881e+08	1.0120477	7.1762943	0.93942016	2589	132	136	715	152	981	0	0	0	16.997457	0	8.2701939	0	0	0	0	0	0	297.846	-5.22782e-13	296.519	2.19348e-11	2.84372e-10	0	34	62016.594	62016.594
8.281	13.812434	-54.5828	12.6648	0	0	0	86772768	1	0	0	0	296.48125	13.815842	2.316059e-11	2.928289e-10	-1790.667	7.7091023e+08	1.8541094e+08	1.0118358	7.742758	0.93349184	2709	146	161	715	125	999	0	0	0	16.997457	0	8.278998	0	0	0	0	0	0	297.846	-5.22782e-13	296.49	2.34094e-11	2.92339e-10	0	25	65354.722	65354.722
8.289	13.798839	-54.5828	12.6641	0	0	0	86772772	1	0	0	0	296.75174	13.803342	2.372077e-11	2.969287e-10	-1790.667	7.7091023e+08	1.8822583e+08	1.012065	7.6095036	0.93505184	2812	148	161	704	127	1080	0	0	0	16.997457	0	8.2863494	0	0	0	0	0	0	297.846	-5.22782e-13	296.752	2.37208e-11	2.95916e-10	0	27	66892.546	66892.546
8.297	13.785274	-54.5828	12.6633	0	0	0	86772776	1	0	0	0	296.72206	13.790842	2.234238e-11	2.959055e-10	-1790.667	7.7091023e+08	1.8779613e+08	1.0120688	6.7183417	0.94407456	2780	151	156	670	122	1043	0	0	0	16.997457	0	8.2937144	0	0	0	0	0	0	297.846	-5.22782e-13	296.722	2.23424e-11	2.95374e-10	0	32	62965.228	62965.228
8.305	13.771729	-54.5828	12.6626	0	0	0	86772780	1	0	0	0	296.6909	13.775842	2.131442e-11	2.943992e-10	-1790.667	7.7091023e+08	1.870586e+08	1.0121814	7.552227	0.9357392	2771	153	161	610	126	1097	0	0	0	16.997457	0	8.3025701	0	0	0	0	0	0	297.846	-5.22782e-13	296.691	2.13144e-11	2.9538e-10	0	35	60029.962	60029.962
8.313	13.758219	-54.5828	12.6618	0	0	0	86772784	1	0	0	0	296.65226	13.763342	2.036649e-11	2.933795e-10	-1790.667	7.7091023e+08	1.8662902e+08	1.0120166	7.7071302	0.9340192	2768	156	141	606	121	1051	0	0	0	16.997457	0	8.3099648	0	0	0	0	0	0	297.846	-5.22782e-13	296.661	2.01444e-11	2.93102e-10	0	35	57323.771	57323.771
