# Scan number: 9
# Command: k-scan 3 12 8.333 180 1 10
# Date: Sun Jul 28 23:48:36 2024
# date: Sun Jul 28 23:48:36 2024
# C Mon Jul 29 00: 12:01 2024.  do ./2023-07_EXAFS.mac.
Energy	monobr	monoh	cr2latr	cr2vetr	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
8.36729	13.667209	25	-54.5828	12.6568	86773202	1	0	0	0	297.6341	13.670842	6.874414e-12	2.692175e-10	-1790.667	7.7091023e+08	1.7263399e+08	1.0122522	18.425164	0.82574304	7045	108	124	1071	3143	829	0	0	0	16.997457	0	8.36511	0	0	0	0	0	0	297.846	-5.22782e-13	297.642	6.90358e-12	2.67979e-10	0	33	19266.495	19266.495
8.36844	13.665304	25	-54.5828	12.6567	86773204	1.0200544	0	0	0	297.6106	13.670842	6.705078e-12	2.691394e-10	-1790.667	7.7091023e+08	1.7261333e+08	1.0279248	17.971463	0.84319168	7227	94	158	1070	3220	877	0	0	0	16.997457	0	8.36511	0	0	0	0	0	0	297.846	-5.22782e-13	297.618	6.75993e-12	2.69175e-10	0	37	18790.228	18790.228
8.3696	13.663364	25	-54.5828	12.6566	86773207	1.0404384	0	0	0	297.58781	13.668342	6.726981e-12	2.688729e-10	-1790.667	7.7091023e+08	1.7247207e+08	1.0520394	18.445181	0.8579888	7301	124	135	1107	3219	922	0	0	0	16.997457	0	8.3666108	0	0	0	0	0	0	297.846	-5.22782e-13	297.595	6.72578e-12	2.69173e-10	0	19	18849.909	18849.909
8.37078	13.661394	25	-54.5828	12.6565	86773210	1.061152	0	0	0	297.57483	13.665842	7.273514e-12	2.686278e-10	-1790.667	7.7091023e+08	1.72345e+08	1.0678086	17.830401	0.87741408	7300	125	147	1117	3211	882	0	0	0	16.997457	0	8.3681123	0	0	0	0	0	0	297.846	-5.22782e-13	297.575	7.27351e-12	2.68846e-10	0	34	20379.501	20379.501
8.37199	13.659394	25	-54.5828	12.6564	86773213	1.0821956	0	0	0	297.55004	13.663342	6.740916e-12	2.690221e-10	-1790.667	7.7091023e+08	1.7262895e+08	1.0922416	17.461426	0.90152064	7457	107	156	1140	3274	959	0	0	0	16.997457	0	8.3696142	0	0	0	0	0	0	297.846	-5.22782e-13	297.55	6.74092e-12	2.6841e-10	0	37	18885.453	18885.453
8.37321	13.657364	25	-54.5828	12.6563	86773216	1.1035684	0	0	0	297.52884	13.660842	7.008312e-12	2.688836e-10	-1790.667	7.7091023e+08	1.7257131e+08	1.1081974	17.226071	0.91729856	7539	137	130	1162	3212	974	0	0	0	16.997457	0	8.3711168	0	0	0	0	0	0	297.846	-5.22782e-13	297.529	7.00831e-12	2.69477e-10	0	31	19632.735	19632.735
8.37445	13.655299	25	-54.5828	12.6562	86773219	1.1252712	0	0	0	297.50561	13.660842	7.13036e-12	2.692246e-10	-1790.667	7.7091023e+08	1.7282196e+08	1.1321277	17.72747	0.93143008	7461	126	135	1133	3096	991	0	0	0	16.997457	0	8.3711168	0	0	0	0	0	0	297.846	-5.22782e-13	297.506	7.13036e-12	2.68962e-10	0	26	19972.714	19972.714
8.37571	13.653209	25	-54.5828	12.6561	86773222	1.1473032	0	0	0	297.47416	13.658342	6.922797e-12	2.68912e-10	-1790.667	7.7091023e+08	1.7265358e+08	1.1561562	16.994964	0.95966784	7668	124	147	1145	3351	1033	0	0	0	16.997457	0	8.3726199	0	0	0	0	0	0	297.846	-5.22782e-13	297.481	6.9228e-12	2.69324e-10	0	30	19389.419	19389.419
8.37699	13.651084	25	-54.5828	12.656	86773225	1.1696652	0	0	0	297.44839	13.655842	7.03509e-12	2.687059e-10	-1790.667	7.7091023e+08	1.7255405e+08	1.1799472	17.263932	0.97624192	7866	109	169	1174	3323	1079	0	0	0	16.997457	0	8.3741235	0	0	0	0	0	0	297.846	-5.22782e-13	297.456	6.92319e-12	2.68935e-10	0	33	19701.977	19701.977
8.37828	13.648929	25	-54.5828	12.6558	86773229	1.1923568	0	0	0	297.42644	13.653342	7.227623e-12	2.686456e-10	-1790.667	7.7091023e+08	1.7254838e+08	1.2039107	17.094796	0.99810464	7823	134	157	1176	3351	1047	0	0	0	16.997457	0	8.3756277	0	0	0	0	0	0	297.846	-5.22782e-13	297.43	7.22249e-12	2.6812e-10	0	42	20239.149	20239.149
8.3796	13.646744	25	-54.5828	12.6557	86773233	1.2153784	0	0	0	297.39436	13.650842	7.312041e-12	2.682476e-10	-1790.667	7.7091023e+08	1.7232654e+08	1.2202534	16.388176	1.0202762	8051	118	164	1150	3452	1106	0	0	0	16.997457	0	8.3771325	0	0	0	0	0	0	297.846	-5.22782e-13	297.404	7.1673e-12	2.68765e-10	0	50	20473.449	20473.449
8.38093	13.644529	25	-54.5828	12.6556	86773236	1.2387292	0	0	0	297.36509	13.648342	6.715233e-12	2.689085e-10	-1790.667	7.7091023e+08	1.7278526e+08	1.2442634	16.97737	1.0330202	8234	134	166	1210	3499	1096	0	0	0	16.997457	0	8.3786378	0	0	0	0	0	0	297.846	-5.22782e-13	297.373	7.40174e-12	2.68422e-10	0	31	18800.474	18800.474
8.38229	13.642284	25	-54.5828	12.6555	86773240	1.2624096	0	0	0	297.34222	13.645842	7.289544e-12	2.685745e-10	-1790.667	7.7091023e+08	1.7260554e+08	1.2678314	17.430634	1.0468403	8362	142	164	1198	3682	1045	0	0	0	16.997457	0	8.3801437	0	0	0	0	0	0	297.846	-5.22782e-13	297.346	7.12807e-12	2.68238e-10	0	31	20406.212	20406.212
