# == pyFAI calibration ==
# Distance Sample to Detector: 0.3999999939076516 m
# PONI: 9.750e-02, 1.135e-01 m
# Rotations: -0.000175 0.000000 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 400.000 mm
# Center: x=1514.000, y=1300.000 pix
# Tilt: 0.010 deg  TiltPlanRot: 0.010 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 6.888e-11 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: 0.99
# Normalization factor: 1.0
# --> /home/myspot/data/2024_07_Rosario/2024-07-27_001_Ru-CGO-ex_Pristine_Rt_000058_data_000001.dat
#       q_nm^-1             I 
  2.003187e-02    1.542462e-01
  3.590745e-02    3.059048e-01
  5.178302e-02    2.153983e-01
  6.765859e-02    1.787529e-01
  8.353417e-02    2.908032e-01
  9.940974e-02    1.603640e-01
  1.152853e-01    3.799306e-02
  1.311609e-01    7.862027e-02
  1.470365e-01    1.535639e-01
  1.629120e-01    5.185269e-02
  1.787876e-01    3.301710e-02
  1.946632e-01    3.362661e-02
  2.105388e-01    1.823753e-02
  2.264143e-01    4.847367e-03
  2.422899e-01    7.011883e-03
  2.581655e-01    3.053751e-02
  2.740411e-01    5.769733e-02
  2.899166e-01    5.718341e-02
  3.057922e-01    3.052684e-02
  3.216678e-01    4.419813e-02
  3.375433e-01    6.514539e-02
  3.534189e-01    4.082690e-02
  3.692945e-01    1.730984e-02
  3.851701e-01    4.283698e-02
  4.010456e-01    6.333919e-02
  4.169212e-01    6.853092e-02
  4.327968e-01    6.252244e-02
  4.486724e-01    4.159673e-02
  4.645479e-01    7.635047e-02
  4.804235e-01    5.456400e-02
  4.962991e-01    3.438847e-02
  5.121747e-01    5.723327e-02
  5.280502e-01    5.576000e-02
  5.439258e-01    3.004036e-02
  5.598014e-01    2.642072e-02
  5.756770e-01    4.621428e-02
  5.915525e-01    2.998978e-02
  6.074281e-01    2.613066e-02
  6.233037e-01    5.613506e-02
  6.391793e-01    3.922734e-02
  6.550548e-01    3.765164e-02
  6.709304e-01    2.929862e-02
  6.868060e-01    4.525052e-02
  7.026815e-01    6.592287e-02
  7.185571e-01    5.574741e-02
  7.344327e-01    5.012544e-02
  7.503083e-01    3.681277e-02
  7.661838e-01    6.977883e-02
  7.820594e-01    1.119035e-01
  7.979350e-01    1.482294e-01
  8.138106e-01    2.008048e-01
  8.296861e-01    2.515864e-01
  8.455617e-01    3.535681e-01
  8.614373e-01    4.458174e-01
  8.773129e-01    5.204970e-01
  8.931884e-01    5.916564e-01
  9.090640e-01    6.314689e-01
  9.249396e-01    7.051824e-01
  9.408152e-01    8.744886e-01
  9.566907e-01    8.961345e-01
  9.725663e-01    1.039848e+00
  9.884419e-01    1.169395e+00
  1.004317e+00    1.172973e+00
  1.020193e+00    1.276464e+00
  1.036069e+00    1.401142e+00
  1.051944e+00    1.426951e+00
  1.067820e+00    1.411632e+00
  1.083695e+00    1.502639e+00
  1.099571e+00    1.528930e+00
  1.115446e+00    1.575324e+00
  1.131322e+00    1.677123e+00
  1.147198e+00    1.644883e+00
  1.163073e+00    1.574003e+00
  1.178949e+00    1.684369e+00
  1.194824e+00    1.872671e+00
  1.210700e+00    2.203502e+00
  1.226575e+00    2.372393e+00
  1.242451e+00    2.508740e+00
  1.258327e+00    2.676087e+00
  1.274202e+00    2.877219e+00
  1.290078e+00    2.909195e+00
  1.305953e+00    2.841905e+00
  1.321829e+00    2.947222e+00
  1.337705e+00    3.106001e+00
  1.353580e+00    3.049226e+00
  1.369456e+00    3.014807e+00
  1.385331e+00    2.931332e+00
  1.401207e+00    3.065533e+00
  1.417082e+00    3.167921e+00
  1.432958e+00    3.187805e+00
  1.448834e+00    3.194996e+00
  1.464709e+00    3.118599e+00
  1.480585e+00    3.206393e+00
  1.496460e+00    3.327582e+00
  1.512336e+00    3.348336e+00
  1.528211e+00    3.628992e+00
  1.544087e+00    3.702011e+00
  1.559963e+00    3.589900e+00
  1.575838e+00    3.465454e+00
  1.591714e+00    3.473243e+00
  1.607589e+00    3.433029e+00
  1.623465e+00    3.402891e+00
  1.639340e+00    3.180718e+00
  1.655216e+00    3.332854e+00
  1.671092e+00    3.338767e+00
  1.686967e+00    3.241695e+00
  1.702843e+00    3.295194e+00
  1.718718e+00    3.220493e+00
  1.734594e+00    3.190794e+00
  1.750469e+00    3.234898e+00
  1.766345e+00    3.204753e+00
  1.782221e+00    3.219193e+00
  1.798096e+00    3.242606e+00
  1.813972e+00    3.164813e+00
  1.829847e+00    3.217021e+00
  1.845723e+00    3.255823e+00
  1.861598e+00    3.160163e+00
  1.877474e+00    3.183561e+00
  1.893350e+00    3.295226e+00
  1.909225e+00    3.218458e+00
  1.925101e+00    3.180634e+00
  1.940976e+00    3.267162e+00
  1.956852e+00    3.198627e+00
  1.972727e+00    3.109113e+00
  1.988603e+00    3.139083e+00
  2.004479e+00    3.100210e+00
  2.020354e+00    2.981566e+00
  2.036230e+00    3.018555e+00
  2.052105e+00    3.171991e+00
  2.067981e+00    3.232384e+00
  2.083856e+00    3.099740e+00
  2.099732e+00    3.044978e+00
  2.115608e+00    3.069574e+00
  2.131483e+00    3.028646e+00
  2.147359e+00    3.234180e+00
  2.163234e+00    3.131639e+00
  2.179110e+00    3.203518e+00
  2.194985e+00    3.181857e+00
  2.210861e+00    3.172474e+00
  2.226737e+00    3.217383e+00
  2.242612e+00    3.102168e+00
  2.258488e+00    3.129254e+00
  2.274363e+00    3.229932e+00
  2.290239e+00    3.297746e+00
  2.306115e+00    3.186086e+00
  2.321990e+00    3.243898e+00
  2.337866e+00    3.217218e+00
  2.353741e+00    3.180599e+00
  2.369617e+00    3.220434e+00
  2.385492e+00    3.238853e+00
  2.401368e+00    3.221460e+00
  2.417244e+00    3.264026e+00
  2.433119e+00    3.299870e+00
  2.448995e+00    3.283598e+00
  2.464870e+00    3.258770e+00
  2.480746e+00    3.239875e+00
  2.496621e+00    3.216581e+00
  2.512497e+00    3.311912e+00
  2.528373e+00    3.219565e+00
  2.544248e+00    3.227730e+00
  2.560124e+00    3.282624e+00
  2.575999e+00    3.310360e+00
  2.591875e+00    3.367560e+00
  2.607750e+00    3.223355e+00
  2.623626e+00    3.147417e+00
  2.639502e+00    3.127522e+00
  2.655377e+00    3.283705e+00
  2.671253e+00    3.254495e+00
  2.687128e+00    3.255576e+00
  2.703004e+00    3.242977e+00
  2.718879e+00    3.170828e+00
  2.734755e+00    3.208576e+00
  2.750631e+00    3.291476e+00
  2.766506e+00    3.168919e+00
  2.782382e+00    3.206088e+00
  2.798257e+00    3.314086e+00
  2.814133e+00    3.182880e+00
  2.830008e+00    3.112761e+00
  2.845884e+00    3.238898e+00
  2.861760e+00    3.179453e+00
  2.877635e+00    3.220526e+00
  2.893511e+00    3.399570e+00
  2.909386e+00    3.323097e+00
  2.925262e+00    3.301647e+00
  2.941137e+00    3.275762e+00
  2.957013e+00    3.285052e+00
  2.972889e+00    3.280424e+00
  2.988764e+00    3.265943e+00
  3.004640e+00    3.309860e+00
  3.020515e+00    3.382837e+00
  3.036391e+00    3.372501e+00
  3.052266e+00    3.365911e+00
  3.068142e+00    3.279733e+00
  3.084018e+00    3.211553e+00
  3.099893e+00    3.343702e+00
  3.115769e+00    3.367969e+00
