# == pyFAI calibration ==
# Distance Sample to Detector: 0.3999999939076516 m
# PONI: 9.750e-02, 1.135e-01 m
# Rotations: -0.000175 0.000000 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 400.000 mm
# Center: x=1514.000, y=1300.000 pix
# Tilt: 0.010 deg  TiltPlanRot: 0.010 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 6.888e-11 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: 0.99
# Normalization factor: 1.0
# --> /home/myspot/data/2024_07_Rosario/Ru-CGO-ex/2024-07-27_002_Ru-CGO-ex_Activtation_ramp_000002_data_000012.dat
#       q_nm^-1             I 
  2.003187e-02    2.195834e-01
  3.590745e-02    6.421851e-02
  5.178302e-02    0.000000e+00
  6.765859e-02    0.000000e+00
  8.353417e-02    4.263245e-02
  9.940974e-02    1.980405e-02
  1.152853e-01    0.000000e+00
  1.311609e-01    2.310895e-03
  1.470365e-01    2.605884e-02
  1.629120e-01    1.559087e-02
  1.787876e-01    6.710804e-02
  1.946632e-01    5.006030e-02
  2.105388e-01    2.767756e-03
  2.264143e-01    2.448250e-02
  2.422899e-01    3.538205e-02
  2.581655e-01    9.588738e-03
  2.740411e-01    0.000000e+00
  2.899166e-01    1.027713e-02
  3.057922e-01    2.180311e-02
  3.216678e-01    3.437175e-02
  3.375433e-01    7.021633e-03
  3.534189e-01    6.390193e-03
  3.692945e-01    1.487649e-02
  3.851701e-01    3.124641e-02
  4.010456e-01    2.382456e-02
  4.169212e-01    5.050562e-02
  4.327968e-01    3.403869e-02
  4.486724e-01    4.054305e-02
  4.645479e-01    3.018977e-02
  4.804235e-01    2.141405e-02
  4.962991e-01    5.287620e-02
  5.121747e-01    4.601548e-02
  5.280502e-01    1.388101e-02
  5.439258e-01    1.222761e-02
  5.598014e-01    3.113854e-02
  5.756770e-01    7.062291e-02
  5.915525e-01    4.093808e-02
  6.074281e-01    4.967288e-02
  6.233037e-01    4.221966e-02
  6.391793e-01    4.099335e-02
  6.550548e-01    2.470673e-02
  6.709304e-01    1.355203e-02
  6.868060e-01    2.395844e-02
  7.026815e-01    2.790413e-02
  7.185571e-01    3.260411e-02
  7.344327e-01    4.185019e-02
  7.503083e-01    6.692620e-02
  7.661838e-01    9.550762e-02
  7.820594e-01    1.472940e-01
  7.979350e-01    1.329359e-01
  8.138106e-01    1.690958e-01
  8.296861e-01    2.448674e-01
  8.455617e-01    3.296899e-01
  8.614373e-01    3.513022e-01
  8.773129e-01    4.052648e-01
  8.931884e-01    4.988027e-01
  9.090640e-01    5.048952e-01
  9.249396e-01    5.956976e-01
  9.408152e-01    7.014009e-01
  9.566907e-01    7.767713e-01
  9.725663e-01    8.925759e-01
  9.884419e-01    9.786828e-01
  1.004317e+00    1.052466e+00
  1.020193e+00    1.161822e+00
  1.036069e+00    1.248350e+00
  1.051944e+00    1.305782e+00
  1.067820e+00    1.366152e+00
  1.083695e+00    1.269341e+00
  1.099571e+00    1.306453e+00
  1.115446e+00    1.287068e+00
  1.131322e+00    1.367669e+00
  1.147198e+00    1.550865e+00
  1.163073e+00    1.558046e+00
  1.178949e+00    1.471940e+00
  1.194824e+00    1.618122e+00
  1.210700e+00    1.805845e+00
  1.226575e+00    2.111576e+00
  1.242451e+00    2.264302e+00
  1.258327e+00    2.275137e+00
  1.274202e+00    2.393169e+00
  1.290078e+00    2.569688e+00
  1.305953e+00    2.591245e+00
  1.321829e+00    2.534309e+00
  1.337705e+00    2.595228e+00
  1.353580e+00    2.729210e+00
  1.369456e+00    2.664125e+00
  1.385331e+00    2.732196e+00
  1.401207e+00    2.824106e+00
  1.417082e+00    2.821030e+00
  1.432958e+00    2.695264e+00
  1.448834e+00    2.729937e+00
  1.464709e+00    2.774108e+00
  1.480585e+00    2.989904e+00
  1.496460e+00    3.114452e+00
  1.512336e+00    3.030434e+00
  1.528211e+00    3.063216e+00
  1.544087e+00    3.201187e+00
  1.559963e+00    3.228386e+00
  1.575838e+00    3.069863e+00
  1.591714e+00    3.103692e+00
  1.607589e+00    3.016122e+00
  1.623465e+00    2.979888e+00
  1.639340e+00    3.134162e+00
  1.655216e+00    3.018303e+00
  1.671092e+00    2.904847e+00
  1.686967e+00    2.899718e+00
  1.702843e+00    2.862008e+00
  1.718718e+00    2.915698e+00
  1.734594e+00    2.884214e+00
  1.750469e+00    2.921235e+00
  1.766345e+00    2.784722e+00
  1.782221e+00    2.729393e+00
  1.798096e+00    2.893122e+00
  1.813972e+00    2.873093e+00
  1.829847e+00    2.805044e+00
  1.845723e+00    2.780805e+00
  1.861598e+00    2.773846e+00
  1.877474e+00    2.826792e+00
  1.893350e+00    2.780541e+00
  1.909225e+00    2.824221e+00
  1.925101e+00    2.809866e+00
  1.940976e+00    2.896600e+00
  1.956852e+00    2.862272e+00
  1.972727e+00    2.747096e+00
  1.988603e+00    2.990895e+00
  2.004479e+00    2.908590e+00
  2.020354e+00    2.790605e+00
  2.036230e+00    2.759234e+00
  2.052105e+00    2.743119e+00
  2.067981e+00    2.823283e+00
  2.083856e+00    2.736882e+00
  2.099732e+00    2.724275e+00
  2.115608e+00    2.973424e+00
  2.131483e+00    2.843446e+00
  2.147359e+00    2.869169e+00
  2.163234e+00    2.843789e+00
  2.179110e+00    2.852774e+00
  2.194985e+00    2.738001e+00
  2.210861e+00    2.779548e+00
  2.226737e+00    2.781289e+00
  2.242612e+00    2.743952e+00
  2.258488e+00    2.742881e+00
  2.274363e+00    2.764114e+00
  2.290239e+00    2.777197e+00
  2.306115e+00    2.847497e+00
  2.321990e+00    2.917406e+00
  2.337866e+00    2.826019e+00
  2.353741e+00    2.821902e+00
  2.369617e+00    2.787468e+00
  2.385492e+00    2.780152e+00
  2.401368e+00    2.842176e+00
  2.417244e+00    2.913840e+00
  2.433119e+00    2.823690e+00
  2.448995e+00    2.810297e+00
  2.464870e+00    2.825687e+00
  2.480746e+00    2.876080e+00
  2.496621e+00    2.949655e+00
  2.512497e+00    2.851058e+00
  2.528373e+00    2.798526e+00
  2.544248e+00    2.769696e+00
  2.560124e+00    2.853327e+00
  2.575999e+00    2.832315e+00
  2.591875e+00    2.844571e+00
  2.607750e+00    2.778952e+00
  2.623626e+00    2.846601e+00
  2.639502e+00    2.870928e+00
  2.655377e+00    2.843505e+00
  2.671253e+00    2.880450e+00
  2.687128e+00    2.733773e+00
