# == pyFAI calibration ==
# Distance Sample to Detector: 0.3999999939076516 m
# PONI: 9.750e-02, 1.135e-01 m
# Rotations: -0.000175 0.000000 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 400.000 mm
# Center: x=1514.000, y=1300.000 pix
# Tilt: 0.010 deg  TiltPlanRot: 0.010 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 6.888e-11 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: 0.99
# Normalization factor: 1.0
# --> /home/myspot/data/2024_07_Rosario/Ru-CGO-ex/2024-07-27_002_Ru-CGO-ex_Activtation_ramp_000002_data_000142.dat
#       q_nm^-1             I 
  2.003187e-02    4.391690e-01
  3.590745e-02    1.284348e-01
  5.178302e-02    0.000000e+00
  6.765859e-02    5.689427e-02
  8.353417e-02    9.333518e-02
  9.940974e-02    4.898547e-02
  1.152853e-01    0.000000e+00
  1.311609e-01    3.549711e-02
  1.470365e-01    4.538409e-02
  1.629120e-01    2.611468e-02
  1.787876e-01    5.443492e-02
  1.946632e-01    2.507456e-02
  2.105388e-01    3.196138e-02
  2.264143e-01    2.620273e-02
  2.422899e-01    1.100976e-02
  2.581655e-01    8.386279e-03
  2.740411e-01    2.596701e-02
  2.899166e-01    1.034184e-02
  3.057922e-01    2.524174e-02
  3.216678e-01    5.424040e-02
  3.375433e-01    7.356343e-02
  3.534189e-01    7.050605e-03
  3.692945e-01    3.252051e-02
  3.851701e-01    5.406736e-02
  4.010456e-01    3.041416e-02
  4.169212e-01    2.639655e-02
  4.327968e-01    2.044705e-02
  4.486724e-01    5.618336e-02
  4.645479e-01    7.822751e-02
  4.804235e-01    2.775750e-02
  4.962991e-01    2.804605e-02
  5.121747e-01    2.826128e-02
  5.280502e-01    2.010169e-02
  5.439258e-01    2.101619e-02
  5.598014e-01    3.502107e-02
  5.756770e-01    3.939323e-02
  5.915525e-01    3.068554e-02
  6.074281e-01    3.289682e-02
  6.233037e-01    4.416088e-02
  6.391793e-01    2.582534e-02
  6.550548e-01    2.349548e-02
  6.709304e-01    1.854418e-02
  6.868060e-01    2.565473e-02
  7.026815e-01    1.420047e-02
  7.185571e-01    1.964650e-02
  7.344327e-01    4.098644e-02
  7.503083e-01    3.920022e-02
  7.661838e-01    8.661399e-02
