# == pyFAI calibration ==
# Distance Sample to Detector: 0.3999999939076516 m
# PONI: 9.750e-02, 1.135e-01 m
# Rotations: -0.000175 0.000000 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 400.000 mm
# Center: x=1514.000, y=1300.000 pix
# Tilt: 0.010 deg  TiltPlanRot: 0.010 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 6.888e-11 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: 0.99
# Normalization factor: 1.0
# --> /home/myspot/data/2024_07_Rosario/Ru-CGO-ex/2024-07-27_003_Ru-CGO-ex_Reaction_dwell_000023_data_000096.dat
#       q_nm^-1             I 
  2.003187e-02    7.712225e-02
  3.590745e-02    9.849355e-02
  5.178302e-02    1.424769e-01
  6.765859e-02    2.347246e-01
  8.353417e-02    2.242142e-01
  9.940974e-02    7.067542e-02
  1.152853e-01    9.321897e-02
  1.311609e-01    9.191508e-02
  1.470365e-01    5.148045e-02
  1.629120e-01    3.577512e-02
  1.787876e-01    1.161120e-02
  1.946632e-01    4.074692e-02
  2.105388e-01    5.386571e-02
  2.264143e-01    5.588477e-02
  2.422899e-01    9.265777e-02
  2.581655e-01    4.358735e-02
  2.740411e-01    2.461519e-02
  2.899166e-01    4.000549e-02
  3.057922e-01    1.499506e-02
  3.216678e-01    1.519656e-02
  3.375433e-01    5.547900e-02
  3.534189e-01    3.126456e-02
  3.692945e-01    2.349073e-02
  3.851701e-01    1.783931e-02
  4.010456e-01    4.126601e-02
  4.169212e-01    2.486923e-02
  4.327968e-01    4.592630e-02
  4.486724e-01    4.285151e-02
  4.645479e-01    4.670649e-02
  4.804235e-01    4.285564e-02
  4.962991e-01    4.024417e-02
  5.121747e-01    4.122393e-02
  5.280502e-01    3.810587e-02
  5.439258e-01    5.399719e-02
  5.598014e-01    3.061665e-02
  5.756770e-01    2.702342e-02
  5.915525e-01    4.504985e-02
  6.074281e-01    1.235278e-02
  6.233037e-01    2.494452e-02
  6.391793e-01    2.887152e-02
  6.550548e-01    3.598719e-02
  6.709304e-01    5.173467e-02
  6.868060e-01    3.128745e-02
  7.026815e-01    3.047072e-02
  7.185571e-01    3.623899e-02
  7.344327e-01    3.831865e-02
  7.503083e-01    6.410076e-02
  7.661838e-01    9.091391e-02
  7.820594e-01    1.192959e-01
  7.979350e-01    1.460112e-01
  8.138106e-01    1.881131e-01
  8.296861e-01    2.661496e-01
  8.455617e-01    3.762101e-01
  8.614373e-01    4.376712e-01
  8.773129e-01    4.836127e-01
  8.931884e-01    5.360409e-01
  9.090640e-01    6.091191e-01
  9.249396e-01    6.113447e-01
  9.408152e-01    8.437560e-01
  9.566907e-01    9.363713e-01
  9.725663e-01    1.080079e+00
  9.884419e-01    1.173459e+00
  1.004317e+00    1.153383e+00
  1.020193e+00    1.237056e+00
  1.036069e+00    1.377243e+00
  1.051944e+00    1.468557e+00
  1.067820e+00    1.446543e+00
  1.083695e+00    1.349234e+00
  1.099571e+00    1.413861e+00
  1.115446e+00    1.553411e+00
  1.131322e+00    1.693855e+00
  1.147198e+00    1.661922e+00
  1.163073e+00    1.722693e+00
  1.178949e+00    1.686546e+00
  1.194824e+00    1.731709e+00
  1.210700e+00    2.005413e+00
  1.226575e+00    2.224601e+00
  1.242451e+00    2.408335e+00
  1.258327e+00    2.417130e+00
  1.274202e+00    2.561402e+00
  1.290078e+00    2.598659e+00
  1.305953e+00    2.865464e+00
  1.321829e+00    2.936903e+00
  1.337705e+00    2.843642e+00
  1.353580e+00    2.766869e+00
  1.369456e+00    2.715351e+00
  1.385331e+00    2.728187e+00
  1.401207e+00    2.780831e+00
  1.417082e+00    2.807284e+00
  1.432958e+00    2.818355e+00
  1.448834e+00    2.920036e+00
  1.464709e+00    2.946474e+00
  1.480585e+00    3.078171e+00
  1.496460e+00    3.183120e+00
  1.512336e+00    3.065143e+00
  1.528211e+00    3.044986e+00
  1.544087e+00    2.996810e+00
  1.559963e+00    3.149724e+00
  1.575838e+00    3.198966e+00
  1.591714e+00    3.309163e+00
  1.607589e+00    3.062369e+00
  1.623465e+00    2.980359e+00
  1.639340e+00    3.063648e+00
  1.655216e+00    3.088356e+00
  1.671092e+00    3.075617e+00
  1.686967e+00    3.031886e+00
  1.702843e+00    3.078722e+00
  1.718718e+00    3.121219e+00
  1.734594e+00    3.035697e+00
  1.750469e+00    3.097299e+00
  1.766345e+00    3.102104e+00
  1.782221e+00    3.157839e+00
  1.798096e+00    3.155325e+00
  1.813972e+00    3.060786e+00
  1.829847e+00    3.045705e+00
  1.845723e+00    2.949794e+00
  1.861598e+00    3.001549e+00
  1.877474e+00    3.083444e+00
  1.893350e+00    3.088312e+00
  1.909225e+00    3.024913e+00
  1.925101e+00    2.976124e+00
  1.940976e+00    2.947997e+00
  1.956852e+00    3.071301e+00
  1.972727e+00    2.990695e+00
  1.988603e+00    3.050628e+00
  2.004479e+00    3.072560e+00
  2.020354e+00    3.031683e+00
  2.036230e+00    3.159027e+00
  2.052105e+00    3.091873e+00
  2.067981e+00    3.185433e+00
  2.083856e+00    3.188158e+00
  2.099732e+00    3.049834e+00
  2.115608e+00    3.118331e+00
  2.131483e+00    3.067513e+00
  2.147359e+00    3.148918e+00
  2.163234e+00    3.204139e+00
  2.179110e+00    3.120100e+00
  2.194985e+00    3.157254e+00
  2.210861e+00    3.146006e+00
  2.226737e+00    3.103829e+00
  2.242612e+00    3.151975e+00
  2.258488e+00    3.164638e+00
  2.274363e+00    3.055537e+00
  2.290239e+00    3.065158e+00
  2.306115e+00    2.993576e+00
  2.321990e+00    3.011920e+00
  2.337866e+00    3.068464e+00
  2.353741e+00    3.216269e+00
  2.369617e+00    3.159425e+00
  2.385492e+00    3.127470e+00
  2.401368e+00    3.218813e+00
  2.417244e+00    3.145874e+00
  2.433119e+00    3.100982e+00
  2.448995e+00    3.134198e+00
  2.464870e+00    3.158091e+00
  2.480746e+00    3.124676e+00
  2.496621e+00    3.156002e+00
  2.512497e+00    3.239345e+00
  2.528373e+00    3.190525e+00
  2.544248e+00    3.230112e+00
  2.560124e+00    3.252251e+00
  2.575999e+00    3.232024e+00
  2.591875e+00    3.137195e+00
  2.607750e+00    3.203410e+00
  2.623626e+00    3.152350e+00
  2.639502e+00    3.178803e+00
  2.655377e+00    3.203457e+00
  2.671253e+00    3.188422e+00
  2.687128e+00    3.265351e+00
  2.703004e+00    3.279171e+00
  2.718879e+00    3.329884e+00
  2.734755e+00    3.244221e+00
  2.750631e+00    3.201344e+00
  2.766506e+00    3.331010e+00
  2.782382e+00    3.217185e+00
  2.798257e+00    3.205622e+00
  2.814133e+00    3.211284e+00
  2.830008e+00    3.333010e+00
  2.845884e+00    3.321496e+00
  2.861760e+00    3.354363e+00
  2.877635e+00    3.314962e+00
  2.893511e+00    3.179555e+00
  2.909386e+00    3.207231e+00
  2.925262e+00    3.339568e+00
  2.941137e+00    3.228015e+00
  2.957013e+00    3.341245e+00
  2.972889e+00    3.365035e+00
  2.988764e+00    3.379030e+00
  3.004640e+00    3.403812e+00
  3.020515e+00    3.375558e+00
  3.036391e+00    3.409860e+00
  3.052266e+00    3.299578e+00
  3.068142e+00    3.349281e+00
  3.084018e+00    3.363011e+00
  3.099893e+00    3.256818e+00
  3.115769e+00    3.248597e+00
  3.131644e+00    3.230984e+00
  3.147520e+00    3.386692e+00
  3.163395e+00    3.329621e+00
  3.179271e+00    3.314151e+00
  3.195147e+00    3.416335e+00
  3.211022e+00    3.422411e+00
  3.226898e+00    3.388637e+00
  3.242773e+00    3.367678e+00
  3.258649e+00    3.475600e+00
  3.274525e+00    3.358602e+00
  3.290400e+00    3.395099e+00
  3.306276e+00    3.436390e+00
  3.322151e+00    3.416723e+00
  3.338027e+00    3.347446e+00
  3.353902e+00    3.328446e+00
  3.369778e+00    3.333385e+00
  3.385654e+00    3.351064e+00
  3.401529e+00    3.401124e+00
  3.417405e+00    3.403179e+00
  3.433280e+00    3.448490e+00
  3.449156e+00    3.472796e+00
  3.465031e+00    3.416431e+00
  3.480907e+00    3.500142e+00
  3.496783e+00    3.408836e+00
  3.512658e+00    3.400890e+00
  3.528534e+00    3.480978e+00
  3.544409e+00    3.436306e+00
  3.560285e+00    3.369619e+00
  3.576160e+00    3.386369e+00
  3.592036e+00    3.435640e+00
  3.607912e+00    3.514065e+00
  3.623787e+00    3.485757e+00
  3.639663e+00    3.493267e+00
  3.655538e+00    3.494649e+00
  3.671414e+00    3.482877e+00
  3.687289e+00    3.453213e+00
  3.703165e+00    3.400985e+00
  3.719041e+00    3.324983e+00
  3.734916e+00    3.365140e+00
  3.750792e+00    3.389638e+00
  3.766667e+00    3.409427e+00
  3.782543e+00    3.449977e+00
  3.798418e+00    3.422026e+00
  3.814294e+00    3.494227e+00
  3.830170e+00    3.527491e+00
  3.846045e+00    3.509781e+00
  3.861921e+00    3.557281e+00
  3.877796e+00    3.385123e+00
  3.893672e+00    3.508220e+00
  3.909547e+00    3.497979e+00
  3.925423e+00    3.451454e+00
  3.941299e+00    3.489083e+00
  3.957174e+00    3.488293e+00
  3.973050e+00    3.576701e+00
  3.988925e+00    3.552970e+00
  4.004801e+00    3.498625e+00
  4.020676e+00    3.482538e+00
  4.036552e+00    3.536805e+00
  4.052428e+00    3.497874e+00
  4.068303e+00    3.523587e+00
  4.084179e+00    3.554768e+00
  4.100054e+00    3.544293e+00
  4.115930e+00    3.467262e+00
  4.131806e+00    3.580987e+00
  4.147681e+00    3.572416e+00
  4.163557e+00    3.522572e+00
  4.179432e+00    3.550042e+00
  4.195308e+00    3.541899e+00
  4.211183e+00    3.520547e+00
  4.227059e+00    3.569433e+00
  4.242935e+00    3.587034e+00
  4.258810e+00    3.603570e+00
  4.274686e+00    3.595406e+00
  4.290561e+00    3.573145e+00
  4.306437e+00    3.603233e+00
  4.322312e+00    3.540004e+00
  4.338188e+00    3.498838e+00
  4.354064e+00    3.537652e+00
  4.369939e+00    3.556471e+00
  4.385815e+00    3.612517e+00
  4.401690e+00    3.566278e+00
  4.417566e+00    3.515691e+00
  4.433441e+00    3.561252e+00
  4.449317e+00    3.547661e+00
  4.465193e+00    3.553601e+00
  4.481068e+00    3.592298e+00
  4.496944e+00    3.628485e+00
  4.512819e+00    3.701081e+00
  4.528695e+00    3.639449e+00
  4.544570e+00    3.532991e+00
  4.560446e+00    3.548785e+00
  4.576322e+00    3.563548e+00
  4.592197e+00    3.601329e+00
  4.608073e+00    3.575168e+00
  4.623948e+00    3.573340e+00
  4.639824e+00    3.559973e+00
  4.655699e+00    3.630351e+00
  4.671575e+00    3.668280e+00
  4.687451e+00    3.639804e+00
  4.703326e+00    3.624736e+00
  4.719202e+00    3.589859e+00
  4.735077e+00    3.650152e+00
  4.750953e+00    3.735815e+00
  4.766828e+00    3.696444e+00
  4.782704e+00    3.646641e+00
  4.798580e+00    3.719472e+00
  4.814455e+00    3.657732e+00
  4.830331e+00    3.556329e+00
  4.846206e+00    3.445632e+00
  4.862082e+00    3.567509e+00
  4.877957e+00    3.696618e+00
  4.893833e+00    3.735528e+00
  4.909709e+00    3.662770e+00
  4.925584e+00    3.521703e+00
  4.941460e+00    3.574520e+00
  4.957335e+00    3.578569e+00
  4.973211e+00    3.611663e+00
  4.989086e+00    3.694940e+00
  5.004962e+00    3.651180e+00
  5.020838e+00    3.648849e+00
  5.036713e+00    3.602322e+00
  5.052589e+00    3.612189e+00
  5.068464e+00    3.672977e+00
  5.084340e+00    3.695068e+00
  5.100216e+00    3.705024e+00
  5.116091e+00    3.665786e+00
  5.131967e+00    3.644523e+00
  5.147842e+00    3.672348e+00
  5.163718e+00    3.681401e+00
  5.179593e+00    3.691297e+00
  5.195469e+00    3.588772e+00
  5.211345e+00    3.614336e+00
  5.227220e+00    3.678198e+00
  5.243096e+00    3.614534e+00
  5.258971e+00    3.638020e+00
  5.274847e+00    3.642094e+00
  5.290722e+00    3.697747e+00
  5.306598e+00    3.715437e+00
  5.322474e+00    3.655149e+00
  5.338349e+00    3.674247e+00
  5.354225e+00    3.656771e+00
  5.370100e+00    3.654495e+00
  5.385976e+00    3.641011e+00
  5.401851e+00    3.610474e+00
  5.417727e+00    3.635600e+00
  5.433603e+00    3.597291e+00
  5.449478e+00    3.560730e+00
  5.465354e+00    3.629777e+00
  5.481229e+00    3.609000e+00
  5.497105e+00    3.565344e+00
  5.512980e+00    3.616349e+00
  5.528856e+00    3.630266e+00
